KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
GUI.UI_SCALE,Used to make the game interface larger or smaller,UI scale:,Dimension de l'interface:,Tamaño de interfaz:,Interfaceengröße,Dimensione dell'interfaccia:,Tamanho da interface:,Tamanho da interface:,Размер интерфейса:,Rozmiar interfejsu:,,,,,
GUI.SAVING_PROMPT,Displayed to the player when the game is paused for autosaving,Saving…,Sauvegarde en cours...,Guardando…,Spiel wird gespeichert…,Salvataggio...,Salvando…,A guardar…,Сохранение…,Zapisywanie...,,,,,
GUI.OPTIONS.AUDIO.TITLE,,Sound Options,Options sonores,Opciones de sonido,Audioeinstellungen,Opzioni audio,Opções de Som,Opções de Som,Настройки звука,,,,,,
GUI.OPTIONS.GRAPHICS.TITLE,,Graphics Options ,Options graphiques ,Ajustes de vídeo ,Grafikeinstellungen ,Opzioni grafiche ,Opções Gráficas ,Opções Gráficas ,Настройки графики ,Ustawienia Grafiki ,Beeldinstellingen ,Grafikinställningar ,Grafikkinnstillinger ,Grafikai beállítások ,Grafiikka-asetukset 
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.WINDOWED,,Windowed,,,,,,,,,,,,,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.BORDERLESS_FULLSCREEN,,Borderless,,,,,,,,,,,,,
GUI.OPTIONS.GRAPHICS.FULLSCREENMODE.EXCLUSIVE_FULLSCREEN,,Exclusive fullscreen,,,,,,,,,,,,,
GUI.OPTIONS.GAMEPLAY.TITLE,,Gameplay Options ,Options de jeu ,Opciones de juego,Gameplay-Optionen,Opzioni di gioco,Opções de Jogo,Opções de Jogo,Настройки игры,Ustawienia Gry ,,,,,
GUI.OPTIONS.GAMEPLAY.USE_EDGE_SCROLLING,This is for a question to ask if the player would like the camera to scroll/pan by placing the mouse at the edge of the screen,Scroll when cursor is at the edge of the screen,,,,,,,,,,,,,
GUI.OPTIONS.GAMEPLAY.ZOOM_TO_CURSOR,This is for a question to ask if the player would like the camera to scroll/pan based on where the mouse cursor is when they zoom in or out,Scroll to cursor when zooming,,,,,,,,,,,,,
GUI.OPTIONS.GAMEPLAY.HIDE_TREES_OBSCURING_SETTLERS,This is an option that makes trees partially transparent when a settler moves behind them,Make trees transparent when obscuring settlers,,,,,,,,,,,,,
GUI.OPTIONS.MISC.TITLE,,Miscellaneous,,,,,,,,,,,,,
GUI.OPTIONS.MISC.CRASH_REPORTING_ENABLED,,Allow automatic crash reports,,,,,,,,,,,,,
GUI.OPTIONS.MISC.HINTS_ENABLED,,Show hints and tutorials in-game,,,,,,,,,,,,,
GUI.OPTIONS.MISC.MAIN_MENU_BACKGROUND_SCROLLING,,Scroll the background on the main menu,,,,,,,,,,,,,
GUI.OPTIONS.TAB.GRAPHICS,,Graphics,,,,,,,,,,,,,
GUI.OPTIONS.TAB.AUDIO,,Audio,,,,,,,,,,,,,
GUI.OPTIONS.TAB.GAMEPLAY,,Gameplay,,,,,,,,,,,,,
GUI.OPTIONS.TAB.TWITCH,,Twitch,,,,,,,,,,,,,
GUI.OPTIONS.TAB.MISC,,Other,,,,,,,,,,,,,
GUI.GRAPHICS.RESOLUTION,,Resolution,Résolution,Resolución,Auflösung,Risoluzione,Resolução,Resolução,Разрешение экрана,Rozdzielczość ,,,,,
GUI.GRAPHICS.FULLSCREEN,,Fullscreen,Plein écran,Pantalla completa,Vollbild,Schermo intero,Tela cheia,Ecrã inteiro,Во весь экран,Pełny ekran ,,,,,
GUI.MINIMAP.LABEL,,Minimap,,,,,,,,,,,,,
GUI.MAP_SEED_DISPLAY,,Current map seed: ,,,,,,,,,,,,,
GUI.VIEW_ROADMAP,,View development roadmap,,,,,,,,,,,,,
GUI.OPTIONS.GAMEPLAY.PAUSE_ON_NOTIFICATION,,Pause for notifications,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.TITLE,,Twitch Integration,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.ENABLED,,Twitch integration enabled,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.LINK_ACCOUNT_BUTTON,,Click here to connect your Twitch account,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.CODE_LABEL,,Code,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.SUBMIT_BUTTON,,Submit,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.GENERAL_ERROR,,An error occured while communicating with Twitch,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.ACCOUNT_LABEL,,Twitch Account:,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.DISCONNECT,,Disconnect,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.CONNECTED_LABEL,,Twitch account connected,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.DISCONNECTED_LABEL,,Twitch account disconnected,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.VIEWERS_AS_SETTLERS,,Use viewers as settler names,,,,,,,,,,,,,
GUI.OPTIONS.TWITCH.PRIORITISE_SUBSCRIBERS,,Give priority to subscribers,,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.TITLE,,Settlers,,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.LIVING_COUNTER,,Population: {{count}},,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.BEDS_COUNTER,,Number of beds: {{count}},,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.DEAD_COUNTER,,Dead: {{count}},,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.SORT.BY_NAME,,Sort by name,,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.SORT.BY_UNHAPPINESS,,Sort by unhappiness,,,,,,,,,,,,,
GUI.RESOURCE_MANAGEMENT.TITLE,,Resources,,,,,,,,,,,,,
GUI.RESOURCE_MANAGEMENT.UNALLOCATED_LABEL,,Available: {{count}},,,,,,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TITLE,,Crafting,,,,,,,,,,,,,
GUI.CRAFTING_MANAGEMENT.MAINTAINING_TEXT,As in keeping a fixed number of items in stock,Maintaining,,,,,,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_HINT,,({{quantity}} in total),,,,,,,,,,,,,
GUI.CRAFTING_MANAGEMENT.TOTAL_QUANTITY_ACTUAL,,Current total: {{quantity}},,,,,,,,,,,,,
GUI.SETTLER_MANAGEMENT.TOTAL_QUANTITY_LABEL,,Total: {{count}},,,,,,,,,,,,,
GUI.FURNITURE_REQUIRES_FLOOR_MATERIALTYPE,,This furniture must be placed on {{materialType}}.,,,,,,,,,,,,,
GUI.SETTINGS.LABEL,,Settings,,,,,,,,,,,,,
GUI.EMBARK.TITLE,,Embark Options,,,,,,,,,,,,,
GUI.EMBARK.START,,Begin!,,,,,,,,,,,,,
GUI.EMBARK.SETTLEMENT_NAME,,Settlement name:,,,,,,,,,,,,,
GUI.EMBARK.MAP_SEED,,Map seed:,,,,,,,,,,,,,
GUI.EMBARK.DISCLAIMER,,"This is an early alpha version of King under the Mountain. There are many, many features still to be added, and bugs are to be expected. In a future update you will be able to use this screen to customise your starting settlers, resources and even map and gameplay settings. Please join our Discord community to report any bugs you find or offer feedback, so we can work together to guide King under the Mountain to become the best possible version of itself. Thank you for playing!",,,,,,,,,,,,,
GUI.EMBARK.DISCORD_LINK,,Click here to join our Discord community,,,,,,,,,,,,,
GUI.LOAD_GAME.TITLE,,Load Game,,,,,,,,,,,,,
GUI.LOAD_GAME.TABLE.SETTLEMENT_NAME,,Name,,,,,,,,,,,,,
GUI.LOAD_GAME.TABLE.VERSION,,Version,,,,,,,,,,,,,
GUI.LOAD_GAME.TABLE.GAME_TIME,,World time,,,,,,,,,,,,,
GUI.LOAD_GAME.TABLE.DATE_TIME,,Last modified,,,,,,,,,,,,,
GUI.LOAD_GAME.TABLE.DELETE,,Delete,,,,,,,,,,,,,
GUI.MECHANISM.SHAFT.VERTICAL,,Vertical,,,,,,,,,,,,,
GUI.MECHANISM.SHAFT.HORIZONTAL,,Horizontal,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GUI.DIALOG.ERROR_TITLE,Shown as the title of an error dialog,An error has occurred,Une erreur s'est produite,Ha ocurrido un error,Ein Fehler ist aufgetreten,È stato riscontrato un errore,Ocorreu um erro ,Ocorreu um erro,Произошла ошибка,Wystąpił jakiś błąd,,,,,
GUI.DIALOG.ERROR_WHILE_SAVING,Unexpected error while saving the game,There was an unexpected error while saving the game.,,,,,,,,,,,,,
GUI.DIALOG.ERROR_WHILE_LOADING,Unexpected error while loading a previous save,There was an unexpected error while loading the game.,,,,,,,,,,,,,
GUI.DIALOG.ERROR_SAVE_INCOMPATIBLE,"Error loading a save as it is from an older, incompatible version of the game",The save file could not be loaded because it is incompatible with this version of the game.,,,,,,,,,,,,,
GUI.DIALOG.ERROR_ROOM_NAME_ALREADY_EXISTS,Error message when the player attempts to rename a room to the same name as another room,A room with that name already exists.,,,,,,,,,,,,,
GUI.DIALOG.INFO_TITLE,,Information,,,,,,,,,,,,,
GUI.DIALOG.MOD_CHANGES_OUTSTANDING,,You have selected a different set of mods to be applied to the game. These will be applied when the game is next restarted.,,,,,,,,,,,,,
GUI.DIALOG.MOD_INCOMPATIBLE,,One or more mods are incompatible with this version of the game and have been deactivated. You can check for updates in the mods menu.,,,,,,,,,,,,,
GUI.DIALOG.LANGUAGE_TRANSLATION_INCOMPLETE,,The selected language translation is currently incomplete and will be missing some text. A fallback language will be used.,,,,,,,,,,,,,
GUI.DIALOG.SETTLEMENT_NAME_NOT_SPECIFIED,,"A name for the settlement must be specified.",,,,,,,,,,,,,
GUI.DIALOG.SETTLEMENT_NAME_ALREADY_IN_USE,,"You already have a saved game for the settlement {{name}}. Starting a new game will overwrite the existing save file. Are you sure you want to continue?",,,,,,,,,,,,,
GUI.DIALOG.CONFIRM_DELETE_SAVE,,"Are you sure you wish to delete {{name}}?",,,,,,,,,,,,,
GUI.DIALOG.OK_BUTTON,Single button shown to dismiss an error dialog,Ok,OK,Ok,OK,Ok,Ok,Ok,OK,Ok,,,,,
GUI.DIALOG.CANCEL_BUTTON,,Cancel,,,,,,,,,,,,,
GUI.DIALOG.RESTART_REQUIRED,,You must restart the game for this change to take effect,,,,,,,,,,,,,
GUI.DIALOG.RENAME_ROOM_TITLE,,Rename room,,,,,,,,,,,,,
GUI.DIALOG.RENAME_SETTLER_TITLE,,Rename settler,,,,,,,,,,,,,
GUI.DIALOG.DISMISS,,Dismiss,,,,,,,,,,,,,
GUI.DIALOG.JUMP_TO,,Go to location,,,,,,,,,,,,,
GUI.DIALOG.STOCKPILE_MANAGEMENT.TITLE,,Stockpile settings,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HAPPINESS_MODIFIER.TITLE,,Happiness:,,,,,,,,,,,,,
HAPPINESS_MODIFIER.NEW_SETTLEMENT_OPTIMISM,,Optimistic about new settlement,,,,,,,,,,,,,
HAPPINESS_MODIFIER.WORKED_IN_ENCLOSED_ROOM,,Worked in an enclosed room,,,,,,,,,,,,,
HAPPINESS_MODIFIER.DRANK_FROM_RIVER,,Drank river water,,,,,,,,,,,,,
HAPPINESS_MODIFIER.ATE_NICELY_PREPARED_FOOD,,Ate a nicely prepared meal,,,,,,,,,,,,,
HAPPINESS_MODIFIER.VERY_TIRED,,Extremely tired,,,,,,,,,,,,,
HAPPINESS_MODIFIER.VERY_HUNGRY,,Very hungry,,,,,,,,,,,,,
HAPPINESS_MODIFIER.VERY_THIRSTY,,Very thirsty,,,,,,,,,,,,,
HAPPINESS_MODIFIER.DYING_OF_HUNGER,,Starving,,,,,,,,,,,,,
HAPPINESS_MODIFIER.DYING_OF_THIRST,,Critically dehydrated,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEPT_OUTSIDE,,Slept under the stars,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEPT_ON_GROUND,,Slept on rough ground,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEPT_IN_SHARED_BEDROOM,,Shared a bedroom with others,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEPT_IN_ENCLOSED_BEDROOM,,Slept in an enclosed bedroom,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEPT_IN_SMALL_BEDROOM,,Slept in a cramped bedroom,,,,,,,,,,,,,
HAPPINESS_MODIFIER.POISONED,,Poisoned,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SAW_DEAD_BODY,,Saw a dead body,,,,,,,,,,,,,
HAPPINESS_MODIFIER.CARRIED_DEAD_BODY,,Carried a dead body,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEPT_IN_LARGE_PRIVATE_BEDROOM,,"Slept in a spacious, private bedroom",,,,,,,,,,,,,
HAPPINESS_MODIFIER.DRANK_ALCOHOL,,Under the effects of alcohol,,,,,,,,,,,,,
HAPPINESS_MODIFIER.ALCOHOL_WITHDRAWAL,,Going sober,,,,,,,,,,,,,
HAPPINESS_MODIFIER.ON_FIRE,,Was badly burned,,,,,,,,,,,,,
HAPPINESS_MODIFIER.CAUGHT_IN_RAIN,,Caught outside in the rain,,,,,,,,,,,,,
HAPPINESS_MODIFIER.WORKED_IN_RAIN,,Working in the rain,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEEPING_IN_RAIN,,Slept in the rain,,,,,,,,,,,,,
HAPPINESS_MODIFIER.SLEEPING_IN_SNOW,,Slept in the snow,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HAULING.ASSIGNMENT.DESCRIPTION,,{{quantity}} assigned to {{targetDescription}},,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HINT.BUTTON.TUTORIAL,,Tutorial,,,,,,,,,,,,,
HINT.BUTTON.HINTS_ONLY,,Hints only,,,,,,,,,,,,,
HINT.BUTTON.DISABLE_ALL,,Disable all hints,,,,,,,,,,,,,
HINT.BUTTON.NEXT,,Next,,,,,,,,,,,,,
HINT.BUTTON.DISMISS,,Dismiss,,,,,,,,,,,,,
HINT.PROGRESS.HEADER,,Progress:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this area to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!",,,,,,,,,,,,,
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with enough space, and clicking the '{{GUI.EMBARK.START}}' button.",,,,,,,,,,,,,
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",,,,,,,,,,,,,
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).",,,,,,,,,,,,,
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.",,,,,,,,,,,,,
HINT.BUILD_ROOFING.3,,"A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,,,,,,,,,,,,,
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",,,,,,,,,,,,,
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,,,,,,,,,,,,,
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",,,,,,,,,,,,,
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,,,,,,,,,,,,,
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,,,,,,,,,,,,,
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,,,,,,,,,,,,,
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HINT.FIRE_ENCOUNTERED.1,,"A fire has started! Extinguish it quickly before it spreads.",,,,,,,,,,,,,
HINT.FIRE_ENCOUNTERED.2,,"You can use the {{GUI.ORDERS.EXTINGUISH_FLAMES}} order to douse the flames with water. Any settlers on fire will attempt to put themselves out.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{profession.noun}} {{race.adjective}}","{{name}}, {{profession.noun}} {{race.adjective}}","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{profession.noun}} {{race.adjective}}","{{name}}, {{profession.noun}} {{race.adjective}}","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.noun}}-{{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}",,"{{name}}, {{race.adjective}} og {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"
HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,Graine :,Semilla,Samen,Seme,Semente,Semente,Семя:,Nasiono,,,,,
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,Graines :,Semillas,Samen,Semi,Sementes,Sementes,Семена:,Nasiona,,,,,
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,,,,,,,,,,,,,
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),,,,,,,,,,,,,
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),,,,,,,,,,,,,
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),,,,,,,,,,,,,
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),,,,,,,,,,,,,
INGREDIENT.MALT.SACK.NOUN,,Malt,,,,,,,,,,,,,
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,,,,,,,,,,,,,
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,,,,,,,,,,,,,
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,,,,,,,,,,,,,
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,,,,,,,,,,,,,
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,,,,,,,,,,,,,
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,Inventaire :,Inventario:,Inventar:,Inventario:,Inventário:,Inventário:,Инвентарь:,Zapas:,,,,,
,,,,,,,,,,,,,,,
ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} aus {{materialType}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}},{{materialType.adjective}} {{itemType.noun_or_plural}}: {{quantity_if_multiple}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{itemType.noun_or_plural}} i {{materialType.adjective}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}},,,,,
,,,,,,,,,,,,,,,
ITEM_GROUP.RESOURCE.PLURAL,,Resources,,,,,,,,,,,,,
ITEM_GROUP.TOOL.PLURAL,,Tools,,,,,,,,,,,,,
ITEM_GROUP.PRODUCT.PLURAL,,Products,,,,,,,,,,,,,
ITEM_GROUP.FUEL.PLURAL,,Fuel,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LANGUAGE.LABEL,,Language,Langue,Idioma,Sprache,Lingua,Idioma,Idioma,Язык,Język,Taal,Språk,Språk,Nyelv,Kieli
,,,,,,,,,,,,,,,
LIQUID.WATER.NOUN,,Water,Eau,Agua,Wasser,Acqua,Água,Água,Вода,Woda,,,,,
LIQUID.WORT.NOUN,,Wort,,,,,,,,,,,,,
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",,,,,,,,,,,,,
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,,,,,,,,,,,,,
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,,,,,,,,,,,,,
LIQUID.BEER.NOUN,,Beer,,,,,,,,,,,,,
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MADNESS.BROKEN.ADJECTIVE,,Broken,,,,,,,,,,,,,
MADNESS.BROKEN.TOOLTIP,,This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MATERIAL,Used for specifying which material something is made out of,Material,Matériau,Material,Material,Materiale,Material,Material,Материал,Materiał,,,,,
,,,,,,,,,,,,,,,
MATERIAL_TYPE,,Type,Sorte,Tipo de material,Art,Tipo,Tipo,Tipo,тип,Rodzaj,Materiaal type,Sort,Type,Rendszer,Materiaali tyyppi
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,Tous,Cualquiera,Beliebig,Qualsiasi,Qualquer,Qualquer,Любой,Każdy,,,,,
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,Gemme,{{BLANK}},Edelstein,Gemma,de gema,Joia,Самоцвет,Klejnot,{{BLANK}},Ädelsten,Juvel,Drágakő,Jalokivi
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,en métal,De metal,Metall,di metallo,de metal,De metal,(металл),Metalowy,Metalen,Metallisk,Metall,Fém,Metallinen
MATERIAL_TYPE.METAL.NOUN,,Metal,Métal,Metal,Metall,Metallo,Metal,Metal,Металл,Metal,Metaal,Metall,Metall,Fém,Metalli
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,Minerai,{{BLANK}},Erz,{{BLANK}},Minério,Minério,Руда,Ruda,{{BLANK}},Malm,Malm,Érc,{{BLANK}}
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,Autre,Otro,Anderes,Altro,Outro(a),Outro,Другое,Inne,Anders,Annat,Annet,,Muu
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,Graine,Semilla,Samen,Seme,Semente,Semente,Семя,Nasiono,,,,,
MATERIAL_TYPE.STONE.ADJECTIVE,,,en pierre,De piedra,Stein,di pietra,,De pedra,(камень),Kamienny,Stenen,Sten-,Stein,,Kivinen
MATERIAL_TYPE.STONE.NOUN,,Stone,Pierre,Piedra,Stein,Pietra,Pedra,Pedra,Камень,Kamień,Steen,Sten,Stein,Kő,Kivi
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,Légumes,De verduras,Gemüse,Verdure,Vegetal,Vegetal,Овощной,Warzywo,,,,,
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,en bois,De madera,Holz,di legno,de madeira,De madeira,(дерево),Drewniany,Houten,Trä-,Tre,Fa,Puinen
MATERIAL_TYPE.WOOD.NOUN,,Wood,Bois,Madera,Holz,Legno,Madeira,Madeira,Дерево,Drewno,Hout,Trä,Tre,Fa,Puu
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,,,,,,,,,,,,,
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,,,,,,,,,,,,,
MATERIAL_TYPE.EARTH.NOUN,,Earth,,,,,,,,,,,,,
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,,,,,,,,,,,,,
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENU.CONTINUE_GAME,,Continue game,Continuer,Continuar partida,Spiel fortsetzen,Continua partita,Continuar jogo,Continuar jogo,Продолжить игру,Kontynuuj,Spel hervatten,Fortsätt spela,Fortsett spill,Játék folytatása,Jatka peliä
MENU.LOAD_GAME,,Load game,,,,,,,,,,,,,
