KEY,NOTES,ENGLISH,PORTUGUESE
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,Um minério que pode ser fundido para produzir {{METAL.SILVER}}.
ORE.HEMATITE.ADJECTIVE,,Hematite,Hematita
ORE.HEMATITE.NOUN,,Hematite,Hematite
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,Um minério que pode ser fundido para produzir {{METAL.IRON}}.
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilmenita
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenita
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","Ilmenite é o minério primário de titânio. Infelizmente, um meio de produção de titânio ainda não foi descoberto."
ORE.MALACHITE.ADJECTIVE,,Malachite,Malaquita
ORE.MALACHITE.NOUN,,Malachite,Malaquite
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,Um minério que pode ser fundido para produzir {{METAL.COPPER}}.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Cobre nativo
ORE.NATIVE_COPPER.NOUN,,Native copper,Cobre nativo
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,{{METAL.COPPER}} de ocorrência natural que deve ser fundida antes de usar.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Ouro nativo
ORE.NATIVE_GOLD.NOUN,,Native gold,Ouro nativo
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,{{METAL.GOLD}} de ocorrência natural que deve ser fundida antes de usar.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Platina nativa
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Platina nativa
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,{{METAL.PLATINUM}} de ocorrência natural que deve ser fundida antes de usar.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Prata nativa
ORE.NATIVE_SILVER.NOUN,,Native silver,Prata nativa
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,{{METAL.SILVER}} de ocorrência natural que deve ser fundida antes de usar.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Poluição
ORE.POLLUCITE.NOUN,,Pollucite,Poluição
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Polucite é um minério de césio, que atualmente é demasiado perigoso para produzir. Metalferreiros anões particularmente loucos estão atualmente tentando encontrar um método confiável de produção."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Ouro tolo
ORE.PYRITE.NOUN,,Fool's gold,Ouro tolo
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Também conhecido como Pirita, sua aparência amarelo-pálido faz com que alguns a confunda com ouro. Ele tem vários usos quando esmagado, mas cuidado deve ser tomado como ele faíscas quando atingido."
ORE.THORIUM.ADJECTIVE,,Thorium,Tório
ORE.THORIUM.NOUN,,Thorium,Tório
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,Um minério metálico prateado que fica preto quando exposto ao ar. É estranhamente quente ao toque.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframite
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframite
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,Um minério metálico que complica a fundição de estanho. Tem um ponto de fusão muito alto para ser fundido com processos normais.

OTHER.BRICK.NOUN,,Brick,Tijolo
OTHER.CLAY_SOIL.NOUN,,Clay soil,Solo argiloso
OTHER.GRASS.NOUN,,,Erva

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,Eu aceito.
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Desativar relatórios
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,Rei sob a Montanha está em desenvolvimento ativo. Para ajudar
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,- O rastreamento de pilha da exceção que causou a falha
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","diagnosticar e corrigir bugs, clique em “Aceito” abaixo para"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,enviar relatórios de falha anônimos automaticamente.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,Isso é composto apenas dos seguintes dados:
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,- A versão do cliente do jogo
PRIVACY.OPT_IN.LINE_7,,- Your operating system,- Seu sistema operacional
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,- Sua placa gráfica e configurações de exibição
PRIVACY.OPT_IN.LINE_9,,- Your options settings,- Configurações de suas opções

PRODUCT.ANVIL,,Anvil,Bigorna
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,Um grande bloco de metal usado para martelar metal aquecido em forma. Necessário para construir um {{FURITURE.FORGE}.
PRODUCT.BARREL.HOOPS,,Barrel hoops,Aros de barril
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,Aros de metal usados para construir um {{PRODUCT.BARREL.NOUN}}. Também usado em algumas máquinas.
PRODUCT.BARREL.NOUN,,Barrel,Barril
PRODUCT.BARREL.PLURAL,,Barrels,Barris
PRODUCT.BARREL.STAVES,,Barrel staves,Pranchas de barril
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Tábuas de madeira curvas usadas para construir um {{PRODUCT.BARREL.NOUN}}.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Um recipiente cilíndrico para líquidos. A forma curva torna mais fácil rolar.
PRODUCT.BOWL,A bowl for eating from,Bowl,Tijela
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Tijela de {{cooking.soup.description}}
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Massa
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Massa
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,Uma mistura de ingredientes que podem ser cozidos em {{PRODUCT.BREAD.LOAF.PLURAL}} usando um {{MOBILITURE.BAKING_OVEN}}.
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Pão
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Pão
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Pão preparado, pronto para comer!"
PRODUCT.BUCKET.NOUN,,Bucket,Balde
PRODUCT.BUCKET.PLURAL,,Buckets,Baldes
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,Um pequeno recipiente usado para mover líquidos manualmente.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Caldeirão
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Usado por um {{PROFISSION.CHEF}} para preparar sopa em um {{ROOMS.KITCHEN}}, onde é então movido para um {{ROOMS.FEASTING_HALL}}."
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,Mó
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,Dois grandes discos de pedra que são moídos juntos para moer culturas colhidas. Usado para construir um {{MOBILITURE.FLOUR_MILL}}.
PRODUCT.RATION.NOUN,,Ration,Ração
PRODUCT.RATION.PLURAL,,Rations,Rações
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Estes vão durar muito tempo para alimentar seus colonos, mas você vai precisar de outras fontes de alimento como prioridade."

PROFESSION.BAKER.VERB,,Baking,Cozer
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Ferreira
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Ferreiro
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Artesanato itens usando metal e também produz metal a partir de minério.
PROFESSION.BLACKSMITH.VERB,,Forging,Forjar
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Carpinteira
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Carpinteiro
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Cria móveis e itens de madeira.
PROFESSION.CARPENTER.VERB,,Crafting,Trabalhar em madeira
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Chef
PROFESSION.CHEF.MALE_NOUN,,Chef,Chef
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,Prepara toda a comida a ser consumida pelos seus colonos.
PROFESSION.CHEF.VERB,,Cooking,A cozinhar
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Agricultora
PROFESSION.FARMER.MALE_NOUN,,Farmer,Agricultor
PROFESSION.FARMER.PLURAL,,Farmers,Agricultores
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Plantas, tende e colhe culturas."
PROFESSION.FARMER.VERB,,Farming,Cultivar
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Pescadora
PROFESSION.FISHER.MALE_NOUN,,Fisher,Pescador
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Capturas de peixes de massas de água para uso como alimento e recursos.
PROFESSION.FISHER.VERB,,Fishing,Pescar
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Caçadora
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Caçador
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Rastreia e mata animais selvagens por sua carne e peles.
PROFESSION.HUNTER.VERB,,Hunting,Caçar
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Presidente da Câmara
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Presidente da Câmara
PROFESSION.MAYOR.VERB,,Governing,Governar
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Comerciante
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Comerciante
PROFESSION.MERCHANT.VERB,,Trading,Comercializar
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Fresagem
PROFESSION.MINER.FEMALE_NOUN,,Miner,Mineira
PROFESSION.MINER.MALE_NOUN,,Miner,Mineiro
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Escave novas áreas usando um {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Escavar
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Nobre
PROFESSION.NOBLE.MALE_NOUN,,Noble,Nobre
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","Os nobres não cumprem trabalhos da mesma forma que os colonos comuns, mas trazem fama e prestígio ao seu assentamento."
PROFESSION.NOBLE.VERB,,Reigning,Reinar
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Criadora de runas
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Criador de runas
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Encanta armas, armaduras e itens com runas mágicas para aumentar suas habilidades."
PROFESSION.RUNESMITH.VERB,,Enchanting,Encantar
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Pedreira
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Pedreiro
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Móveis de artesanato e itens de pedra.
PROFESSION.STONEMASON.VERB,,Sculpting,Esculpir
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Consertadora
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Consertador
PROFESSION.TINKERER.VERB,,Tinkering,Consertar
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Aldeã
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Aldeão
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,"Este colono não possui profissões específicas e cumprirá quaisquer tarefas mundanas, como o transporte de artigos."
PROFESSION.VILLAGER.VERB,,Working,Trabalhar
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Lenhadora
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Lenhador
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,Corta árvores como madeira serrada que pode ser usada em um {{ROOMS.SAWMILL}}.
PROFESSION.WOODCUTTER.VERB,,Chopping,Cortar lenha

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,De anã
RACE.DWARF.FEMALE_NOUN,,Dwarf,Anã
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Anãs
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,De anão
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Anão
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Anões
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,Os anões são humanóides curtos e cheios. Eles são mestres de trabalhar com pedra e metal. A maioria dos anões desconfia do céu e prefere ficar no subsolo.

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Um sal de ácido sulfúrico com muitos usos na indústria. (Usos de vitriol ainda não foram implementados no Rei sob a Montanha)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Farinha
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Farinha
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,Grão que foi moído em pó fino pronto para ser usado como ingrediente na produção de alimentos.
RESOURCE.GEM.NOUN,,Gem,Joia
RESOURCE.GEM.PLURAL,,Gems,Joias
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,Gemas que foram cortadas e polidas para realçar a sua beleza. Mais comumente usado como ornamentação.
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Joia bruta
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Joias brutas
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,Um pedaço de rocha contendo pedras preciosas prontas para serem cortadas e polidas.
RESOURCE.LOGS.NOUN,,Log,Tronco
RESOURCE.LOGS.PLURAL,,Logs,Troncos
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Seções de uma árvore que são mais comumente preparadas em {{RESOURCE.PLANKS.PLURAL}}, mas também têm outros usos."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Floresce
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Floresce
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,Um pedaço de metal misturado com escória que deve ser martelado em uma forma utilizável.
RESOURCE.METAL.INGOT.NOUN,,Ingot,Lingote
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Lingotes
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Blocos de metal refinados, prontos para serem usados como ingrediente de fabricação."
RESOURCE.METAL.PLATE.NOUN,,Plate,Prato
RESOURCE.METAL.PLATE.PLURAL,,Plates,Pratos
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",Placas grandes e planas que são usadas em algumas das máquinas maiores.
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Diário de cogumelos
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Toros de cogumelos
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,Um log que foi infundido com {{INGREIENT.CUSHROOM.SPAWN.NOUN}}. O corpo do tronco em si é de onde os cogumelos extraem nutrientes. É necessário mergulhar em um {{MOBILITURE.MHOOM_SHOCK_TANK}} depois de se tornar totalmente inoculado.
RESOURCE.MUSHROOM.LUMBER.NOUN,,Log,Tronco
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Logs,Troncos
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,Seções de um cogumelo gigante que podem ser usadas da mesma forma que madeira {{RESOURCE.LOGS.PLURAL}}.
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Minério triturado
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Minério triturado
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","Uma areia metálica criada pela quebra de minério de metal bruto, pronta para uso em um {{MOBILITURE.BLOOMERY_FURNE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Minério
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Minérios
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,Pedra que contém minérios metálicos que podem ser transformados em metal utilizável.
RESOURCE.PLANKS.NOUN,,Plank,Tábua
RESOURCE.PLANKS.PLURAL,,Planks,Tábuas
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,Seções de madeira de tamanho fixo para que possam ser facilmente usadas em construções e artesanato.
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Diário de cogumelos
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Toros de cogumelos
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,Este tronco com infusão de cogumelos foi “chocado” na água para incentivar os cogumelos a se desenvolverem e deve produzir uma colheita em breve.
RESOURCE.STONE.BLOCK.NOUN,,Block,Bloco
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Blocos
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,Pedra que foi moldada em um cubo de modo que é pode ser facilmente usado na construção ou fabricação.
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Pedregulho de pedra bruta
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Pedregulhos de pedra bruta
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,Um enorme pedaço de pedra que deve ser cinzelado em uma forma mais útil por um {{PROFISSION.STONEMASON}}.

ROOMS.BEDROOM,,Bedroom,Quarto
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.","Um lugar para seus colonos dormirem. Eles preferem ter quartos individuais com pelo menos 9 azulejos de tamanho e, de preferência, pelo menos, 13 azulejos de tamanho."
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,Ponte
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,Colocado do outro lado do rio para permitir o acesso ao outro lado.
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Oficina de carpintaria
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,Esta oficina produz a maioria das ferramentas e itens de madeira.
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{allocated}} de {{total}} espaços em uso no momento
ROOMS.EARTHWORKS,,Earthworks,Terraplenagem
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,Uma área exterior para grandes construções.
ROOMS.FARM,,Farm plot,Parcela de cultivo
ROOMS.FARM.PLURAL,,Farm plots,Parcelas agrícolas
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,Cultiva culturas usando {{INGREIENT.SEEDS.PLURAL}}. Deve ser colocado em {{MATERIAL_TYPE.EARTH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall,"Refeitório "
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!","Um lugar para os colonos se reunirem para comer, beber e ser feliz!"
ROOMS.GRAVEYARD,,Graveyard,Cemitério
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,Os colonos falecidos são colocados para descansar aqui.
ROOMS.KITCHEN,,Kitchen,Cozinha
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,A maioria dos alimentos é preparada aqui antes de ser servida em {{ROOMS.FEASTING_HALL}}.
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Oficina de alvenaria
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,Esta oficina produz a maioria dos itens feitos de pedra.
ROOMS.METALWORKS,,Metalworks,Serralharia
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,O minério de metal é refinado e usado na fabricação aqui.
ROOMS.MUSHROOM_FARM,,Mushroom farm,Fazenda de cogumelos
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,Os cogumelos podem ser cultivados usando {{INGREGIENT.CUSHROOM.SPAWN.NOUN}} e madeira {{RESOURCE.LOGS.PLURAL}}.
ROOMS.SAWMILL,,Sawmill,Serraria
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,{{RESOURCE.LOGS.PLURAL}} de madeira são refinados em {{RESOURCE.PLANKS.PLURAL}} aqui.
ROOMS.STOCKPILES,,Stockpiles,Reservas
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,Itens não utilizados são colocados em estoques para facilitar o acesso.

SEASON.AUTUMN,,Autumn,Outono
SEASON.SPRING,,Spring,Primavera
SEASON.SUMMER,,Summer,Verão
SEASON.WINTER,,Winter,Inverno

SEED.BARLEY_SEED,,Barley,Cevada
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Um grão usado apenas na produção de cerveja. Pode ser plantada em {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTUMN}}."
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,Berserker
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,Um cogumelo com uma tampa rosa-vermelha com manchas brancas. Tem propriedades alucinógenas que os guerreiros às vezes usam na preparação para a batalha.
SEED.CARROT_SEED,,Carrot,Cenoura
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Um vegetal de raiz resistente que sobrevive à geada {{SEASON.WINTER}}. As cenouras crescem rapidamente, mas apenas produzem uma pequena colheita. Pode ser plantada em {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTUMN}}."
SEED.CORN_SEED,,Corn,Milho
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","Um grão de cereais também conhecido como milho. Produz uma colheita abundante, mas leva cerca de 2 estações para crescer e não pode sobreviver {{SEASON.WINTER}}, então requer plantio no início {{SEASON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap,Boné de morte
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",Um cogumelo muito venenoso com uma tampa larga e plana. Comer até mesmo uma pequena quantidade quase certamente causará envenenamento que pode levar à morte.
SEED.ELFSBANE_SPAWN,,Elfsbane,Elfsbane
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Este cogumelo tem um sabor simples e sem sabor para a maioria dos humanóides. Estranhamente, tem um gosto absolutamente nojento para os elfos, que muitas vezes reagem com vômitos explosivos ao consumir, ou em casos extremos, um ataque cardíaco."
SEED.FIST_SPAWN,,Fist,Punho
