KEY,NOTES,ENGLISH,JAPANESE
NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,あなたの鉱夫は新しいエリアを発見しました！
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,探検
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",{{{character}} は {{reason}} により死亡しました。
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},{{reason}} により死亡しました
NOTIFICATION.DEATH.TITLE,,Settler death,セトラー・デス
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,すべてのものは終わらなければならない。 あなたの和解は捨てられています。
NOTIFICATION.GAME_OVER.TITLE,,Game Over,ゲームオーバー
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,あなたの和解の繁栄は、あなたの人口を高めるために新しい移民の数を集めています。
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,移民だ
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,柱と支柱の欠如のためにエリアが陥っています。
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,鉱山崩壊
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,過激な苦難は、{{character}} を処理するには多すぎることが証明されています。
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,精神崩壊

ORE.BAUXITE.ADJECTIVE,,Bauxite,ボーキサイト
ORE.BAUXITE.NOUN,,Bauxite,ボーキサイト
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",ボーキサイトはアルミニウムの原石です。 残念ながら、アルミニウム生産の手段はまだ発見されていません。
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,ビチューメン石炭
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,ビチューメン石炭
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,これは、{{FURNITURE.COKE_NOUN}} を使用して {{ORE.COKE.NOUN} に変換することができます。
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,カシテライト
ORE.CASSITERITE.NOUN,,Cassiterite,カシテライト
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,{{METAL.TIN.NOUN}} を製造するために製錬することができる鉱石。
ORE.CHARCOAL.ADJECTIVE,,Charcoal,木炭
ORE.CHARCOAL.NOUN,,Charcoal,木炭
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} 木製 {リソース.LOG S.PLURAL} から製造されています。
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,クリソコラ
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,クリソコラ
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.",ターコイズと混同されることが多く、実際は {{METAL.COPPER}} の鉱石です。
ORE.COKE.ADJECTIVE,,Coke,コーク
ORE.COKE.NOUN,,Coke,コーラ
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,{{FUEL.SACK}} として使用できる {{ORE.BITUMINOUS_COAL}} の洗練された形態。
ORE.GALENA.ADJECTIVE,,Galena,ガリーナ
ORE.GALENA.NOUN,,Galena,ガリーナ
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,{{METAL.SILVER} を製造するために製錬することができる鉱石。
ORE.HEMATITE.ADJECTIVE,,Hematite,ヘマタイト
ORE.HEMATITE.NOUN,,Hematite,ヘマタイト
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,{{METAL.IRON}} を製造するために製錬することができる鉱石。
ORE.ILMENITE.ADJECTIVE,,Ilmenite,イルメナイト
ORE.ILMENITE.NOUN,,Ilmenite,イルメナイト
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",イルメナイトはチタンの原石です。 残念ながら、チタン生産の手段はまだ発見されていません。
ORE.MALACHITE.ADJECTIVE,,Malachite,マラカイト
ORE.MALACHITE.NOUN,,Malachite,マラカイト
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,{{METAL.COPPER}} を製造するために製錬することができる鉱石。
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,ネイティブの銅
ORE.NATIVE_COPPER.NOUN,,Native copper,ネイティブの銅
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,天然に発生する {{METAL.COPPER}} は、使用前に精錬する必要があります。
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,プラチナム
ORE.NATIVE_GOLD.NOUN,,Native gold,プラチナム
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,天然に発生する {{METAL.GOLD}} は、使用前に精錬する必要があります。
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,白金
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,白金
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,天然に発生する {{METAL.PLATINUM}} は、使用前に精錬する必要があります。
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,純銀 (金属)
ORE.NATIVE_SILVER.NOUN,,Native silver,純銀 (金属)
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,天然に発生する {{METAL.SILVER}} は、使用前に精錬する必要があります。
ORE.POLLUCITE.ADJECTIVE,,Pollucite,ポルサイト
ORE.POLLUCITE.NOUN,,Pollucite,ポルサイト
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",Polluciteはセシウムの鉱石であり、現在生産するには危険です。 特にクレイジーなドワーフの金属職人は、現在、信頼できる生産方法を見つけようとしています。
ORE.PYRITE.ADJECTIVE,,Fool's gold,愚か者の金
ORE.PYRITE.NOUN,,Fool's gold,愚か者の金
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.",黄鉄鉱とも呼ばれ、その淡黄色の外観は、金のためにそれを間違える原因となります。 粉砕するといくつかの用途がありますが、打たれたときに火花するように注意する必要があります。
ORE.THORIUM.ADJECTIVE,,Thorium,トリウム
ORE.THORIUM.NOUN,,Thorium,トリウム
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,空気にさらされると黒くなる銀色の金属鉱石。 触っても不思議に暖かいです。
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,ウルフラマイト
ORE.WOLFRAMITE.NOUN,,Wolframite,ウルフラマイト
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,錫の製錬を複雑にする金属鉱石。 通常のプロセスで精錬するには融点が高すぎます。

OTHER.BRICK.NOUN,,Brick,レンガ
OTHER.CLAY_SOIL.NOUN,,Clay soil,土壌
OTHER.GRASS.NOUN,,,

PRIORITY.DISABLED,,Disabled,
PRIORITY.HIGHER,,Higher,
PRIORITY.HIGHEST,,Highest,
PRIORITY.LOWER,,Lower,
PRIORITY.LOWEST,,Lowest,
PRIORITY.NORMAL,,Normal,

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,同意する
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,レポートを無効にする
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,山の下の王は活発に発展しています。 お手伝いをする
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,-クラッシュの原因となった例外のスタックトレース
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to",バグを診断して修正するには、下の「同意する」をクリックしてください。
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,匿名のクラッシュレポートを自動的に送信します。
PRIVACY.OPT_IN.LINE_4,," ",
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,これは、次のデータのみで構成されています。
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,-ゲームクライアントのバージョン
PRIVACY.OPT_IN.LINE_7,,- Your operating system,-お使いのオペレーティングシステム
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,-グラフィックスカードとディスプレイの設定
PRIVACY.OPT_IN.LINE_9,,- Your options settings,-オプション設定

PRODUCT.ANVIL,,Anvil,金床
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,加熱された金属を形にハンマーするために使用される金属の大きなブロック。 {{FURNITURE.FORGE} を構築するために必要です。
PRODUCT.BARREL.HOOPS,,Barrel hoops,バレルフープ
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,{{PRODUCT.BARREL.NOUN}} を構築するために使用される金属フープ。 また、いくつかの機械で使用されます。
PRODUCT.BARREL.NOUN,,Barrel,樽
PRODUCT.BARREL.PLURAL,,Barrels,樽
PRODUCT.BARREL.STAVES,,Barrel staves,バレル譜表
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,{{PRODUCT.BARREL.NOUN}} を構築するために使用された湾曲した木製の厚板。
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,液体用の円筒形の容器。 湾曲した形状により、回転しやすくなります。
PRODUCT.BOWL,A bowl for eating from,Bowl,ボウル
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},{{調理.スープ説明}} のボウル
PRODUCT.BREAD.DOUGH.NOUN,,Dough,生地
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,生地
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,{{食品.パン.ローフ.多数}} に焼くことができる成分を混ぜたもの。
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,パンパン
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,パンパン
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!",準備されたパン、食べる準備ができて！
PRODUCT.BUCKET.NOUN,,Bucket,バケット
PRODUCT.BUCKET.PLURAL,,Buckets,バケツ
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,手で液体を動かすために使用される小さな容器。
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,大釜だ
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.",{{PROFESSION.CHEF}} が {{部屋.キッチン}} のスープを準備するために使用し、その後 {{部屋.FEASTING_HALL}} に移動します。
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,ミルストーン
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,収穫した作物を粉砕するために一緒に粉砕された2つの大きな石盤。 {{FURNITURE.FLOUR_MILL}} を構築するために使用されます。
PRODUCT.RATION.NOUN,,Ration,[レイション
PRODUCT.RATION.PLURAL,,Rations,「連合
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.",これらはあなたの入植者を養うために長い時間がかかりますが、優先事項として他の食糧源が必要になります。

PROFESSION.BAKER.VERB,,Baking,ベーキング
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,鍛冶屋
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,鍛冶屋
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,金属を使用して工芸品も鉱石から金属を生産します。
PROFESSION.BLACKSMITH.VERB,,Forging,鍛造
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,大工
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,大工
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,木製の家具やアイテムを作成します。
PROFESSION.CARPENTER.VERB,,Crafting,クラフト
PROFESSION.CHEF.FEMALE_NOUN,,Chef,料理人
PROFESSION.CHEF.MALE_NOUN,,Chef,料理人
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,あなたの入植者によって消費される食品のすべてを準備します。
PROFESSION.CHEF.VERB,,Cooking,調理
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,農民
PROFESSION.FARMER.MALE_NOUN,,Farmer,農民
PROFESSION.FARMER.PLURAL,,Farmers,
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.",植物は、作物を傾向があり、収穫する。
PROFESSION.FARMER.VERB,,Farming,農業
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,漁師
PROFESSION.FISHER.MALE_NOUN,,Fisher,漁師
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,水域から魚を捕まえ、食物や資源として使用します。
PROFESSION.FISHER.VERB,,Fishing,釣り
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,狩人
PROFESSION.HUNTER.MALE_NOUN,,Hunter,狩人
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,彼らの肉や毛皮のために野生動物を追跡し、殺す。
PROFESSION.HUNTER.VERB,,Hunting,狩猟
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,市長
PROFESSION.MAYOR.MALE_NOUN,,Mayor,市長
PROFESSION.MAYOR.VERB,,Governing,統権を支配する
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,商人
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,商人
PROFESSION.MERCHANT.VERB,,Trading,取引
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,フライス加工
PROFESSION.MINER.FEMALE_NOUN,,Miner,炭鉱夫
PROFESSION.MINER.MALE_NOUN,,Miner,炭鉱夫
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,{{TOOL.PICKAXE}} を使って新しいエリアを掘削します。
PROFESSION.MINER.VERB,,Mining,採掘
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,貴族
PROFESSION.NOBLE.MALE_NOUN,,Noble,貴族
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.",貴族は、一般的な入植者と同じように仕事を遂行するのではなく、あなたの和解に名声と威信をもたらします。
PROFESSION.NOBLE.VERB,,Reigning,君臨だ
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,ルーンスミス
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,ルーンスミス
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.",自分の能力を高めるために魔法のルーン文字で武器、鎧やアイテムをエンチャント。
PROFESSION.RUNESMITH.VERB,,Enchanting,魅惑的だ
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,ストーンメイソン
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,ストーンメイソン
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,工芸家具や石からのアイテム。
PROFESSION.STONEMASON.VERB,,Sculpting,スカルプト
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,ティンカー
PROFESSION.TINKERER.MALE_NOUN,,Tinker,ティンカー
PROFESSION.TINKERER.VERB,,Tinkering,いじり
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,村人
PROFESSION.VILLAGER.MALE_NOUN,,Villager,村人
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,この入植者には特定の職業はなく、アイテムを運搬するような日常的な仕事を果たします。
PROFESSION.VILLAGER.VERB,,Working,働いてる
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,木こり
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,木こり
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,{{ROOMS.SAWMILL}} で使用できる木材として木を切り落とす。
PROFESSION.WOODCUTTER.VERB,,Chopping,チョッピング

QUOTA.FIXED_AMOUNT,,in total,
QUOTA.PER_SETTLER,,per settler,

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,ドワーフ
RACE.DWARF.FEMALE_NOUN,,Dwarf,ドワーフ
RACE.DWARF.FEMALE_PLURAL,,Dwarves,ドワーフ
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,ドワーフ
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,ドワーフ
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,ドワーフ
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,ドワーフは短く、ひっそりとしたヒューマノイドです。 彼らは石と金属を扱う巨匠です。 ほとんどのドワーフは空を不信にし、地下に滞在することを好む。

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,ヴィトリオール
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,ヴィトリオール
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),業界で多くの用途を持つ硫酸の塩。 （硝酸塩の使用は、まだ山の下の王に実装されていません）
RESOURCE.FLOUR.SACK.NOUN,,Flour,小麦粉
RESOURCE.FLOUR.SACK.PLURAL,,Flour,小麦粉
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,食品の原料として使用する準備ができて微粉に粉砕された穀物。
RESOURCE.GEM.NOUN,,Gem,ジェム
RESOURCE.GEM.PLURAL,,Gems,宝石
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,その美しさを高めるためにカットされ、研磨された宝石。 装飾として最も一般的に使用されます。
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,カットされていない宝石
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,カットされていない宝石
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,カットして研磨する準備ができている宝石を含む岩の塊です。
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),
RESOURCE.LOGS.NOUN,,Log,[ログ]
RESOURCE.LOGS.PLURAL,,Logs,ログ
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.",{{RESOURCE.PLANKS.PLURAL}} に最もよく準備されているが、他の用途もある、ツリーのセクション。
RESOURCE.METAL.BLOOM.NOUN,,Bloom,ブルームだ
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,花を咲かせる
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,スラグと混合された金属の塊。使用可能な形に叩かなければならない。
RESOURCE.METAL.INGOT.NOUN,,Ingot,インゴイ
RESOURCE.METAL.INGOT.PLURAL,,Ingots,インゴット
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.",洗練された金属ブロックは、クラフト原料として使用できます。
RESOURCE.METAL.PLATE.NOUN,,Plate,プレート
RESOURCE.METAL.PLATE.PLURAL,,Plates,プレート
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",大型機械の一部で使用されている大型フラットプレート。
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,マッシュルームログ
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,きのこログ
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,{{成分.キノコ.スポーン.NOUN}} が注入されたログ。 ログ自体の本体は、キノコが栄養素を引き出す場所です。 完全に無関心になった後、{{FURNITURE.MUSHROOM_SHOCK_TANK}} で吐き出さなければなりません。
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,[ログ]
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,ログ
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,木製 {{リソース.LOGS.PLURAL} と同じ方法で使用することができる巨大なキノコのセクション。
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,砕石鉱石
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,砕石鉱石
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.",原金属鉱石を分解して作られた金属砂。{{FURNITURE.BLOOMERY_FURNACE}} で使用可能です。
RESOURCE.ORE.UNREFINED.NOUN,,Ore,鉱石
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,鉱石
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,金属鉱石を含む石で、使用可能な金属に加工することができます。
RESOURCE.PLANKS.NOUN,,Plank,厚板
RESOURCE.PLANKS.PLURAL,,Planks,厚板
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,固定サイズの木材のセクションは、構造や工作に容易に使用することができます。
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,マッシュルームログ
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,きのこログ
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,このキノコ注入されたログは、キノコが発達するように促すために、水の中で「ショック」されており、すぐに収穫を産むはずです。
RESOURCE.STONE.BLOCK.NOUN,,Block,ブロック
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,ブロック
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,そのように立方体に成形された石は、工事や工作に容易に使用することができます。
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,ラフ・ストーン・ボルダー
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,粗い石の岩
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,{{{PROFESSION.STONEMASON}} によってより有用な形に刻まなければならない巨大な石。
RESOURCE.WHEAT.SACK.NOUN,,Wheat (sack),
RESOURCE.WHEAT.SACK.PLURAL,,Wheat (sack),

ROOMS.BEDROOM,,Bedroom,寝室
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.",あなたの入植者が眠る場所。 彼らは、少なくとも9タイルのサイズで、好ましくは少なくとも13タイルのサイズの個々の寝室を有することを好む。
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,ブリッジ
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,反対側へのアクセスを可能に川を渡って配置。
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,木工ワークショップ
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,このワークショップでは、ほとんどの木製の道具やアイテムを生産しています。
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,現在使用中の {{total}} 個のスペースの {{割り当て済み}}
ROOMS.EARTHWORKS,,Earthworks,土工事だ
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,大型建築物の屋外エリア。
ROOMS.FARM,,Farm plot,農場のプロット
ROOMS.FARM.PLURAL,,Farm plots,
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,{{成分.種.多元的} を使って作物を育てます。 {{材質タイプ.地上.NOUN}} に配置する必要があります。
ROOMS.FEASTING_HALL,,Feasting hall,宴会場内
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!",入植者が食べて、飲んで、陽気になるために集まる場所！
ROOMS.GRAVEYARD,,Graveyard,墓地
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,死亡した入植者はここに休むように敷かれています。
ROOMS.KITCHEN,,Kitchen,キッチン
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,ほとんどの料理は、{{ROOMS.FEASTING_HALL}} で提供される前にここで準備されています。
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,組積造工房
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,このワークショップでは、石で作られたほとんどのアイテムを生産しています。
ROOMS.METALWORKS,,Metalworks,金属工事
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,金属鉱石は洗練され、ここでクラフトに使用されています。
ROOMS.MUSHROOM_FARM,,Mushroom farm,キノコ農場
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,キノコは、{{原材料、キノコ、産物、名物}} と木製 {リソース.LOGS.PLURAL} を使って栽培することができます。
ROOMS.SAWMILL,,Sawmill,製材所
