KEY,NOTES,ENGLISH,KOREAN
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,그것은 철에 액세스 할 수없는 가난한 군대입니다. 드워프 금속 세공은 이것을 {{METAL.STEEL.NOUN}} 에 사용하는 비밀을 알고 있습니다.
METAL.PLATINUM.ADJECTIVE,,Platinum,플래티넘
METAL.PLATINUM.NOUN,,Platinum,플래티넘
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,부식에 강한 은백색 금속입니다. 플래티넘은 {{METAL.GOLD.NOUN}} 보다 더 희귀하고 귀중합니다.
METAL.SILVER.ADJECTIVE,,Silver,실버
METAL.SILVER.NOUN,,Silver,실버
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ",{{METAL.GOLD.NOUN}} 처럼 은은 주화 및 부의 거래를 위한 견고한 막대로 자주 사용됩니다.
METAL.STEEL.ADJECTIVE,,Steel,스틸
METAL.STEEL.NOUN,,Steel,스틸
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.","우수한 무기와 도구를 만드는 {{METAL.IRON.NOUN}} 보다 훨씬 강한, 오직 드워프만이 강철을 만드는 비밀을 알고 있습니다."
METAL.TIN.ADJECTIVE,,Tin,주석
METAL.TIN.NOUN,,Tin,주석
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),"주석은 {{ORE.CASSITERITE.NOUN}} 에서 제련하고 {{{금속.구리, 명사}} 와 합금하여 {{METAL.COPPER.NOUN}} 를 생산할 수 있습니다. (합금은 아직 산 아래 킹에서 구현되지 않았습니다)"

MODS.APPLY,,Apply,적용
MODS.COMPATIBILITY.COMPATIBLE,,Yes,"네, 네"
MODS.COMPATIBILITY.INCOMPATIBLE,,No,"아뇨, 아뇨"
MODS.COMPATIBILITY.UNKNOWN,,Unknown,알 수 없음
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,이 저장 파일은 다음 모드가 활성화된 동안 마지막으로 사용되었습니다. 이 개조물은 이제 누락되거나 비활성화되어 저장이 올바르게로드되지 않을 수 있습니다.
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","저장 파일은이 버전의 게임과 호환되지 않기 때문에로드 할 수 없습니다, 또는이 저장이 마지막으로로드 된 이후 일부 모드가 비활성화 또는 제거 되었기 때문에. 다음 모드가 예상되었지만 더 이상 활성화되지 않습니다."
MODS.TABLE.COMPATIBILITY,,Compatible?,호환 가능?
MODS.TABLE.ENABLED,,Enabled?,활성화하시겠습니까?
MODS.TABLE.NAME,,Mod Name,변경사항 이름
MODS.TABLE.ORDERING,,Re-order,재주문
MODS.TABLE.VERSION,,Mod Version,변경사항 버전

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,마셔
NEEDS.FOOD,,Food,음식
NEEDS.SLEEP,,Sleep,수면

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,광부들이 새로운 영역을 발견했습니다!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,탐사
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, {{reason}} (으) 로 인해 사망했습니다."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},{{reason}} (으) 로 인해 사망했습니다.
NOTIFICATION.DEATH.TITLE,,Settler death,세틀러 죽음
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,모든 것이 끝나야합니다. 당신의 정착은 버려진 거짓말.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,게임 오버
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,당신의 정착지의 번영은 당신의 인구를 높이기 위해 새로운 이민자의 숫자를 끌고있다.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,이민
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,이 지역은 기둥과 지지대가 부족하여 동굴에 파견되었습니다.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,분류: 광업 붕괴
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,이 지저분한 어려움은 {{character}} 을 (를) 처리하기에는 너무 많은 것으로 입증되었습니다.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,정신 휴식

ORE.BAUXITE.ADJECTIVE,,Bauxite,보크사이트
ORE.BAUXITE.NOUN,,Bauxite,보크사이트
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",보크사이트는 알루미늄의 주요 광석입니다. 안타깝게도 알루미늄 생산 수단은 아직 발견되지 않았습니다.
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,역청 질 석탄
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,역청 질 석탄
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,이것은 {{ORE.COKE.NOUN}} 을 (를) 사용하여 {{FURNITURE.COKE_OVEN}} 로 변환할 수 있습니다.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,카시테라이트
ORE.CASSITERITE.NOUN,,Cassiterite,카시테라이트
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,{{METAL.TIN.NOUN}} 를 생산하기 위해 제련할 수 있는 광석.
ORE.CHARCOAL.ADJECTIVE,,Charcoal,차콜
ORE.CHARCOAL.NOUN,,Charcoal,차콜
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} 은 (는) 나무 {{자원. 로그. 복수형}} 에서 생산됩니다.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,크리소콜라
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,크리소콜라
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","종종 청록색과 혼동, 그것은 실제로 {{METAL.COPPER}} 의 광석이다."
ORE.COKE.ADJECTIVE,,Coke,콜라
ORE.COKE.NOUN,,Coke,콜라
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,{{ORE.BITUMINOUS_COAL}} 로 사용할 수 있는 정제된 형태의 {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,갈레나
ORE.GALENA.NOUN,,Galena,갈레나
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,{{METAL.SILVER}} 을 (를) 생산하기 위해 제련할 수 있는 광석.
ORE.HEMATITE.ADJECTIVE,,Hematite,적광석
ORE.HEMATITE.NOUN,,Hematite,적광석
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,{{METAL.IRON}} 을 (를) 생산하기 위해 제련할 수 있는 광석.
ORE.ILMENITE.ADJECTIVE,,Ilmenite,일메나이트
ORE.ILMENITE.NOUN,,Ilmenite,일메나이트
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",일메나이트는 티타늄의 주요 광석입니다. 안타깝게도 티타늄 생산 수단은 아직 발견되지 않았습니다.
ORE.MALACHITE.ADJECTIVE,,Malachite,말라카이트
ORE.MALACHITE.NOUN,,Malachite,말라카이트
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,{{METAL.COPPER}} 을 (를) 생산하기 위해 제련할 수 있는 광석.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,네이티브 구리
ORE.NATIVE_COPPER.NOUN,,Native copper,네이티브 구리
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,자연적으로 발생하는 {{METAL.COPPER}} 은 사용하기 전에 제련해야 합니다.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,네이티브 골드
ORE.NATIVE_GOLD.NOUN,,Native gold,네이티브 골드
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,자연적으로 발생하는 {{METAL.GOLD}} 은 사용하기 전에 제련해야 합니다.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,네이티브 플래티넘
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,네이티브 플래티넘
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,자연적으로 발생하는 {{METAL.PLATINUM}} 은 사용하기 전에 제련해야 합니다.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,네이티브 실버
ORE.NATIVE_SILVER.NOUN,,Native silver,네이티브 실버
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,자연적으로 발생하는 {{METAL.SILVER}} 은 사용하기 전에 제련해야 합니다.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,오염물
ORE.POLLUCITE.NOUN,,Pollucite,오염물
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",오염물은 현재 생산하기에는 너무 위험한 케시움의 광석입니다. 특히 미친 드워프 금속 세공은 현재 신뢰할 수있는 생산 방법을 찾으려고합니다.
ORE.PYRITE.ADJECTIVE,,Fool's gold,바보의 금
ORE.PYRITE.NOUN,,Fool's gold,바보의 금
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","황철광이라고도 불리며 옅은 황색의 외관으로 인해 금색을 잘못 인식하게 됩니다. 그것은 분쇄 할 때 여러 가지 용도가 있지만, 강타 할 때 불꽃으로주의해야합니다."
ORE.THORIUM.ADJECTIVE,,Thorium,토륨
ORE.THORIUM.NOUN,,Thorium,토륨
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,공기에 노출되면 검게 변하는 은빛 금속 광석. 만지면 이상하게 따뜻합니다.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,울프라마이트
ORE.WOLFRAMITE.NOUN,,Wolframite,울프라마이트
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,주석의 제련을 복잡하게 만드는 금속 광석. 용융점이 너무 높아 정상적인 공정으로 제련할 수 없습니다.

OTHER.BRICK.NOUN,,Brick,벽돌
OTHER.CLAY_SOIL.NOUN,,Clay soil,클레이 토양
OTHER.GRASS.NOUN,,,

PRIORITY.DISABLED,,Disabled,
PRIORITY.HIGHER,,Higher,
PRIORITY.HIGHEST,,Highest,
PRIORITY.LOWER,,Lower,
PRIORITY.LOWEST,,Lowest,
PRIORITY.NORMAL,,Normal,

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,나는 받아들인다.
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,보고 사용 안 함
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,산 아래 왕은 활발한 개발 중입니다. 도움이 필요하기
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,- 충돌을 일으킨 예외의 스택 추적
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","진단 및 버그 수정, 아래의 “동의함”을 클릭하십시오"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,익명 충돌 보고서를 자동으로 보냅니다.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,이 데이터는 다음 데이터로만 구성됩니다.
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,- 게임 클라이언트의 버전
PRIVACY.OPT_IN.LINE_7,,- Your operating system,- 운영 체제
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,- 그래픽 카드 및 디스플레이 설정
PRIVACY.OPT_IN.LINE_9,,- Your options settings,- 옵션 설정

PRODUCT.ANVIL,,Anvil,앤빌
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,가열 된 금속을 망치로 만드는 데 사용되는 큰 금속 블록. {{가구.포지}} 를 건설하는 데 필요합니다.
PRODUCT.BARREL.HOOPS,,Barrel hoops,배럴 농구
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,{{PRODUCT.BARREL.NOUN}} 를 만드는 데 사용되는 금속 고리. 또한 일부 기계에 사용됩니다.
PRODUCT.BARREL.NOUN,,Barrel,배럴
PRODUCT.BARREL.PLURAL,,Barrels,배럴
PRODUCT.BARREL.STAVES,,Barrel staves,배럴 스태브
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,{{PRODUCT.BARREL.NOUN}} 를 만드는 데 사용되는 곡선 나무 판자.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,액체 용 원통형 용기. 곡선 모양을 사용하면 쉽게 굴릴 수 있습니다.
PRODUCT.BOWL,A bowl for eating from,Bowl,그릇
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},{{요리.수프. 설명}} 의 그릇
PRODUCT.BREAD.DOUGH.NOUN,,Dough,반죽
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,반죽
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,{{PRODUCT.BREAD.LOAF.PLURAL}} 을 사용하여 {{FURNITURE.BAKING_OVEN}} 에 구울 수 있는 재료의 혼합입니다.
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,빵 덩어리
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,빵 덩어리
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","준비 빵, 먹을 준비!"
PRODUCT.BUCKET.NOUN,,Bucket,버킷
PRODUCT.BUCKET.PLURAL,,Buckets,버킷
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,액체를 손으로 옮기는 데 사용되는 작은 용기입니다.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,가마솥
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","{{PROFESSION.CHEF}} 이 {{ROOMS.KITCHEN}} 에서 수프를 준비하는데 사용하며, 그 후 {{ROOMS.FEASTING_HALL}} 으로 옮깁니다."
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,밀스톤
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,수확 된 작물을 분쇄하기 위해 함께 분쇄 된 두 개의 큰 돌 디스크. {{FURNITURE.FLOUR_MILL}} 을 구성하는 데 사용됩니다.
PRODUCT.RATION.NOUN,,Ration,배급
PRODUCT.RATION.PLURAL,,Rations,식량
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","이것들은 당신의 정착민들에게 먹이를주기 위해 오랜 시간 동안 지속될 것이지만, 당신은 우선 순위로 다른 음식 공급원이 필요할 것입니다."

PROFESSION.BAKER.VERB,,Baking,베이킹
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,대장장이
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,대장장이
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,금속을 사용하여 항목을 공예하고 또한 광석에서 금속을 생산합니다.
PROFESSION.BLACKSMITH.VERB,,Forging,단조
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,목수
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,목수
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,목재 가구 및 항목을 만듭니다.
PROFESSION.CARPENTER.VERB,,Crafting,공예
PROFESSION.CHEF.FEMALE_NOUN,,Chef,요리사
PROFESSION.CHEF.MALE_NOUN,,Chef,요리사
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,당신의 정착민에 의해 소비되는 모든 음식을 준비합니다.
PROFESSION.CHEF.VERB,,Cooking,요리
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,농부
PROFESSION.FARMER.MALE_NOUN,,Farmer,농부
PROFESSION.FARMER.PLURAL,,Farmers,농부들
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","식물, 경향 및 작물 작물."
PROFESSION.FARMER.VERB,,Farming,농업
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,피셔
PROFESSION.FISHER.MALE_NOUN,,Fisher,피셔
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,음식과 자원으로 사용하기 위해 수역에서 물고기를 잡습니다.
PROFESSION.FISHER.VERB,,Fishing,낚시
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,헌터
PROFESSION.HUNTER.MALE_NOUN,,Hunter,헌터
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,육류와 펠트를 위해 야생 동물을 추적하고 죽입니다.
PROFESSION.HUNTER.VERB,,Hunting,사냥
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,시장님
PROFESSION.MAYOR.MALE_NOUN,,Mayor,시장님
PROFESSION.MAYOR.VERB,,Governing,관리
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,상인
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,상인
PROFESSION.MERCHANT.VERB,,Trading,거래
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,밀링
PROFESSION.MINER.FEMALE_NOUN,,Miner,광부
PROFESSION.MINER.MALE_NOUN,,Miner,광부
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,{{TOOL.PICKAXE}} 를 사용하여 새 영역을 발굴합니다.
PROFESSION.MINER.VERB,,Mining,광업
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,노블
PROFESSION.NOBLE.MALE_NOUN,,Noble,노블
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","귀족은 일반적인 정착민과 같은 방식으로 일자리를 성취하지 못하지만, 귀하의 정착촌에 명성과 명성을 가져다줍니다."
PROFESSION.NOBLE.VERB,,Reigning,통치
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,룬스미스
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,룬스미스
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","무기, 갑옷, 아이템에 마법 룬을 부여하여 능력을 향상시킵니다."
PROFESSION.RUNESMITH.VERB,,Enchanting,매혹적인
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,스톤메이슨
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,스톤메이슨
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,공예품 가구 및 돌에서 항목.
PROFESSION.STONEMASON.VERB,,Sculpting,조각
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,팅커
PROFESSION.TINKERER.MALE_NOUN,,Tinker,팅커
PROFESSION.TINKERER.VERB,,Tinkering,땜질
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,마을 주민
PROFESSION.VILLAGER.MALE_NOUN,,Villager,마을 주민
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,이 정착민은 특정 직업이 없으며 물품 운반과 같은 일상적인 작업을 수행합니다.
PROFESSION.VILLAGER.VERB,,Working,일하면서
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,나무꾼
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,나무꾼
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,나무를 {{ROOMS.SAWMILL}} 에서 사용할 수 있는 목재로 자릅니다.
PROFESSION.WOODCUTTER.VERB,,Chopping,도마

QUOTA.FIXED_AMOUNT,,in total,
QUOTA.PER_SETTLER,,per settler,

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,드워프
RACE.DWARF.FEMALE_NOUN,,Dwarf,드워프
RACE.DWARF.FEMALE_PLURAL,,Dwarves,드워프
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,드워프
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,드워프
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,드워프
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,드워프는 짧고 땅딸막 한 휴머노이드입니다. 그들은 돌과 금속으로 일하는 주인입니다. 대부분의 드워프는 하늘을 불신하고 지하에 머물 것을 선호합니다.

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,비트리올
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,비트리올
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),산업에서 많은 용도를 가진 황산의 소금. (vitriol의 사용법은 아직 산 아래 킹에서 구현되지 않았습니다)
RESOURCE.FLOUR.SACK.NOUN,,Flour,밀가루
RESOURCE.FLOUR.SACK.PLURAL,,Flour,밀가루
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,미세한 분말로 가공한 곡물을 식품 생산의 성분으로 사용할 수 있습니다.
RESOURCE.GEM.NOUN,,Gem,보석
RESOURCE.GEM.PLURAL,,Gems,보석
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,그들의 아름다움을 향상시키기 위해 절단 및 광택 된 보석. 가장 일반적으로 장식품으로 사용됩니다.
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,포경 보석
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,자르지 않은 보석
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,절단 및 광택이 가능한 보석을 담고 있는 바위 덩어리.
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),
RESOURCE.LOGS.NOUN,,Log,로그
RESOURCE.LOGS.PLURAL,,Logs,로그
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.",{{RESOURCE.PLANKS.PLURAL}} 로 가장 일반적으로 준비되지만 다른 용도가있는 트리의 섹션입니다.
RESOURCE.METAL.BLOOM.NOUN,,Bloom,블룸
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,꽃
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,슬래그와 혼합 된 금속 덩어리로 사용 가능한 형태로 망치질해야합니다.
RESOURCE.METAL.INGOT.NOUN,,Ingot,잉곳
RESOURCE.METAL.INGOT.PLURAL,,Ingots,잉곳
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.",정제된 금속 블록으로 제작 성분으로 사용할 수 있습니다.
RESOURCE.METAL.PLATE.NOUN,,Plate,플레이트
RESOURCE.METAL.PLATE.PLURAL,,Plates,플레이트
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",대형 기계류의 일부에 사용되는 대형 평판.
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,머쉬룸 로그
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,버섯 통나무
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,{{INGREDIENT.MUSHROOM.SPAWN.NOUN}} 이 주입된 통나무. 로그 자체의 몸은 버섯이 영양분을 끌어내는 곳입니다. 완전히 무큐레이션된 후 {{FURNITURE.MUSHROOM_SHOCK_TANK}} 에 담가 두어야 한다.
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,로그
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,로그
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,나무와 같은 방법으로 사용할 수있는 거대한 버섯의 섹션 {{RESOURCE.LOGS.PLURAL}}.
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,분쇄된 광석
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,분쇄된 광석
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","원금속 광석을 분해하여 만든 금속 모래로, {{FURNITURE.BLOOMERY_FURNACE}} 에서 사용할 수 있습니다."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,광석
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,광석
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,사용 가능한 금속으로 가공할 수 있는 금속 광석을 포함하는 석재.
RESOURCE.PLANKS.NOUN,,Plank,판자
