KEY,NOTES,ENGLISH,FRENCH
MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Soif
NEEDS.FOOD,,Food,Faim
NEEDS.SLEEP,,Sleep,Fatigue

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Vos mineurs ont découvert une nouvelle zone!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Exploration
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, est décédé en raison de {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Décédé par {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Décès d'un colon
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Toutes les bonnes choses doivent prendre fin. Votre colonie est abandonnée.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Fin de la partie
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,La prospérité de votre établissement a attiré un certain nombre de nouveaux immigrants pour stimuler votre population.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Immigration
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Une zone s'est effondrée en raison d'un manque de piliers et de supports.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Effondrement de l'exploitation minière
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,La difficulté éprouvante s'est révélée trop difficile à gérer pour {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Pause mentale

ORE.BAUXITE.ADJECTIVE,,Bauxite,Bauxite
ORE.BAUXITE.NOUN,,Bauxite,Bauxite
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","La bauxite est le minerai primaire de l'aluminium. Malheureusement, un moyen de production d'aluminium n'a pas encore été découvert."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Charbon bitumineux
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Charbon bitumineux
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Cela peut être converti en {{ORE.COKE.NOUN}} à l'aide d'un {{FURNITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Cassitérite
ORE.CASSITERITE.NOUN,,Cassiterite,Cassitérite
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,Minerai pouvant être fondu pour produire {{METAL.TIN.NOUN}}.
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Du charbon de bois
ORE.CHARCOAL.NOUN,,Charcoal,Du charbon de bois
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} produit à partir de bois {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Souvent confondu avec la turquoise, c'est en fait un minerai de {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,Coca
ORE.COKE.NOUN,,Coke,Coca
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,Une forme raffinée de {{ORE.BITUMINOUS_COAL}} qui peut être utilisée comme {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,Galena
ORE.GALENA.NOUN,,Galena,Galène
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,Minerai pouvant être fondu pour produire {{METAL.SILVER}}.
ORE.HEMATITE.ADJECTIVE,,Hematite,Hématite
ORE.HEMATITE.NOUN,,Hematite,Hématite
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,Minerai pouvant être fondu pour produire {{METAL.IRON}}.
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilménite
ORE.ILMENITE.NOUN,,Ilmenite,Ilménite
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","L'ilménite est le minerai primaire du titane. Malheureusement, un moyen de production de titane reste à découvrir."
ORE.MALACHITE.ADJECTIVE,,Malachite,Malachite
ORE.MALACHITE.NOUN,,Malachite,Malachite
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,Minerai pouvant être fondu pour produire {{METAL.COPPER}}.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Cuivre natif
ORE.NATIVE_COPPER.NOUN,,Native copper,Cuivre
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,{{METAL.COPPER}} naturel qui doit être fondu avant utilisation.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Or natif
ORE.NATIVE_GOLD.NOUN,,Native gold,Or
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,{{METAL.GOLD}} naturel qui doit être fondu avant utilisation.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Platine natif
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Platine natif
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,{{METAL.PLATINUM}} naturel qui doit être fondu avant utilisation.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Argent natif
ORE.NATIVE_SILVER.NOUN,,Native silver,Argent
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,{{METAL.SILVER}} naturel qui doit être fondu avant utilisation.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Pollucite
ORE.POLLUCITE.NOUN,,Pollucite,Pollucite
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","La pollucite est un minerai de Césium, qui est actuellement trop dangereux pour produire. Les métallurgistes nains particulièrement fous essaient actuellement de trouver une méthode de production fiable."
ORE.PYRITE.ADJECTIVE,,Fool's gold,L'or de l'imbécile
ORE.PYRITE.NOUN,,Fool's gold,L'or de l'imbécile
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Aussi connu sous le nom de Pyrite, son aspect jaune pâle fait que certains la confondent avec de l'or. Il a plusieurs utilisations lorsqu'il est écrasé, mais il faut faire attention car il étincelle lorsqu'il est frappé."
ORE.THORIUM.ADJECTIVE,,Thorium,Thorium
ORE.THORIUM.NOUN,,Thorium,Thorium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,Un minerai métallique argenté qui devient noir lorsqu'il est exposé à l'air. Il fait étrangement chaud au toucher.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframite
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframite
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,Un minerai métallique qui complique la fusion de l'étain. Il a un point de fusion trop élevé pour être fondu avec des processus normaux.

OTHER.BRICK.NOUN,,Brick,Brique
OTHER.CLAY_SOIL.NOUN,,Clay soil,Argile
OTHER.GRASS.NOUN,,,Herbe

PRIORITY.DISABLED,,Disabled,
PRIORITY.HIGHER,,Higher,
PRIORITY.HIGHEST,,Highest,
PRIORITY.LOWER,,Lower,
PRIORITY.LOWEST,,Lowest,
PRIORITY.NORMAL,,Normal,

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,J'accepte
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Désactiver les rapports
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,King Under The Mountain est en cours développement. Pour aider
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,- La trace de la pile de l'exception qui a causé le crash
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","Diagnostiquer et corriger les bugs, veuillez cliquer sur «J'accepte» ci-dessous pour"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,Envoyer automatiquement des rapports d'incident de façon anonyme.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,Il ne s'agit que des données suivantes:
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,- La version du client de jeu
PRIVACY.OPT_IN.LINE_7,,- Your operating system,- Votre système d'exploitation
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,- Vos paramètres de carte graphique et d'affichage
PRIVACY.OPT_IN.LINE_9,,- Your options settings,- Paramètres de vos options

PRODUCT.ANVIL,,Anvil,Enclume
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,Un grand bloc de métal utilisé pour marteler le métal chauffé en forme. Requis pour construire un {{FURNITURE.FORGE}.
PRODUCT.BARREL.HOOPS,,Barrel hoops,Cercles de tonneau
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,Cerceaux métalliques utilisés pour construire un {{PRODUCT.BARREL.NOUN}}. Également utilisé dans certaines machines.
PRODUCT.BARREL.NOUN,,Barrel,Tonneau
PRODUCT.BARREL.PLURAL,,Barrels,Barils
PRODUCT.BARREL.STAVES,,Barrel staves,Lattes de tonneau
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Planches de bois courbes utilisées pour construire un {{PRODUCT.BARREL.NOUN}}.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Un récipient cylindrique pour liquides. La forme incurvée facilite le roulis.
PRODUCT.BOWL,A bowl for eating from,Bowl,Bol
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Bol de {{cooking.soup.description}}
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Pâte
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Pâte
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,Un mélange d'ingrédients qui peut être cuit dans {{PRODUCT.BREAD.LOAF.PLURAL}} à l'aide d'un {{FURNITURE.BAKING_OVEN}}.
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Pain :
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Pain :
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Pain préparé, prêt à manger!"
PRODUCT.BUCKET.NOUN,,Bucket,Seau
PRODUCT.BUCKET.PLURAL,,Buckets,Des seaux
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,Petit récipient utilisé pour déplacer les liquides à la main.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Chaudron
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Utilisé par un {{PROFESSION.CHEF}} pour préparer une soupe dans un {{ROOMS.KITCHEN}}, où elle est ensuite déplacée dans un {{ROOMS.FEASTING_HALL}}."
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,Meule
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,Deux grands disques de pierre qui sont broyés ensemble pour moudre les cultures récoltées. Utilisé pour construire un {{FURNITURE.FLOUR_MILL}}.
PRODUCT.RATION.NOUN,,Ration,Ration
PRODUCT.RATION.PLURAL,,Rations,Rations
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Ils dureront longtemps pour nourrir vos colons, mais vous aurez besoin d'autres sources de nourriture en priorité."

PROFESSION.BAKER.VERB,,Baking,Fabrique
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Forgeronne
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Forgeron
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Artisanat des objets en utilisant du métal et produit également du métal à partir de minerai.
PROFESSION.BLACKSMITH.VERB,,Forging,Forge
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Menuisière
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Menuisier
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Crée des meubles et des objets en bois.
PROFESSION.CARPENTER.VERB,,Crafting,Élabore
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Cuisinière
PROFESSION.CHEF.MALE_NOUN,,Chef,Cuisinier
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,Prépare tous les aliments à consommer par vos colons.
PROFESSION.CHEF.VERB,,Cooking,Cuisine
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Fermière
PROFESSION.FARMER.MALE_NOUN,,Farmer,Fermier
PROFESSION.FARMER.PLURAL,,Farmers,Fermiers
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Plante, soigne et récolte des cultures."
PROFESSION.FARMER.VERB,,Farming,Cultive
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Pêcheuse
PROFESSION.FISHER.MALE_NOUN,,Fisher,Pêcheur
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Capturer des poissons dans les plans d'eau pour être utilisés comme nourriture et ressources.
PROFESSION.FISHER.VERB,,Fishing,Pêche
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Chasseuse
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Chasseur
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Traque et tue les animaux sauvages pour leur viande et leur peau.
PROFESSION.HUNTER.VERB,,Hunting,Chasse
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Maire
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Maire
PROFESSION.MAYOR.VERB,,Governing,Gouverne
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Marchande
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Marchand
PROFESSION.MERCHANT.VERB,,Trading,Échange
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Fraisage
PROFESSION.MINER.FEMALE_NOUN,,Miner,Mineuse
PROFESSION.MINER.MALE_NOUN,,Miner,Mineur
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Excavation de nouvelles zones à l'aide d'un {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Mine
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Noble
PROFESSION.NOBLE.MALE_NOUN,,Noble,Noble
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","Les nobles ne remplissent pas les emplois de la même manière que les colons communs, mais apportent la renommée et le prestige à votre établissement."
PROFESSION.NOBLE.VERB,,Reigning,Régne
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Forgerune
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Forgerune
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Enchantera des armes, des armures et des objets avec des runes magiques pour booster leurs capacités."
PROFESSION.RUNESMITH.VERB,,Enchanting,Enchante
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Tailleuse de pierre
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Tailleur de pierre
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Artisanat meubles et objets de pierre.
PROFESSION.STONEMASON.VERB,,Sculpting,Sculpte
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Bricoleuse
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Bricoleur
PROFESSION.TINKERER.VERB,,Tinkering,Bricolant
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Villageoise
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Villageois
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,Ce colon n'a pas de profession spécifique et s'acquittera de tâches banales comme le transport d'objets.
PROFESSION.VILLAGER.VERB,,Working,Travaille
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Scieuse
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Scieur
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,Découpe les arbres en tant que buche qui peut être utilisé dans un {{ROOMS.SAWMILL}}.
PROFESSION.WOODCUTTER.VERB,,Chopping,Coupe

QUOTA.FIXED_AMOUNT,,in total,
QUOTA.PER_SETTLER,,per settler,

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Naine
RACE.DWARF.FEMALE_NOUN,,Dwarf,Naine
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Naines
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Nain
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Nain
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Nains
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,Les nains sont des humanoïdes courts et trapus. Ils sont maîtres de travailler avec la pierre et le métal. La plupart des nains se méfient du ciel et préfèrent rester sous terre.

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Un sel d'acide sulfurique avec de nombreuses utilisations dans l'industrie. (Les usages du vitriol ne sont pas encore mis en œuvre dans King under the Mountain)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Farine
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Farine
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,Grain qui a été broyé en une poudre fine prête à être utilisée comme ingrédient dans la production d'aliments.
RESOURCE.GEM.NOUN,,Gem,Gemme
RESOURCE.GEM.PLURAL,,Gems,Gemmes
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,Pierres précieuses taillées et polies pour rehausser leur beauté. Le plus couramment utilisé comme ornementation.
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Gemme brute
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Gemmes brutes
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,Un morceau de roche contenant des pierres précieuses prêtes à être taillées et polies.
RESOURCE.LOGS.NOUN,,Log,Bûche
RESOURCE.LOGS.PLURAL,,Logs,Bûches
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Les parties d'un arbre qui sont le plus souvent préparées dans {{RESOURCE.PLANKS.PLURAL}}, mais qui ont également d'autres utilisations."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Floraison
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Fleurit
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,Un morceau de métal mélangé avec du laitier qui doit être martelé dans une forme utilisable.
RESOURCE.METAL.INGOT.NOUN,,Ingot,Lingot
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Lingots
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Blocs métalliques raffinés, prêts à être utilisés comme ingrédient artisanal."
RESOURCE.METAL.PLATE.NOUN,,Plate,Assiette
RESOURCE.METAL.PLATE.PLURAL,,Plates,Assiettes
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",De grandes plaques plates qui sont utilisées dans certaines des plus grandes machines.
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Bouche de champignons
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Bûches de champignons
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,Un journal qui a été infusé avec {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. Le corps de la bûche elle-même est d'où les champignons tirent des nutriments. Il doit être arrosé dans un {{FURNITURE.MUSHROOM_SHOCK_TANK}} après avoir été complètement innoculé.
RESOURCE.MUSHROOM.LUMBER.NOUN,,Log,Bûche
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Logs,Bûches
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,Parties d'un champignon géant qui peut être utilisé de la même manière que le bois {{RESOURCE.LOGS.PLURAL}}.
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Minerai concassé
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Minerai concassé
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","Sable métallique créé en décomposant le minerai de métal brut, prêt à l'emploi dans un {{FURNITURE.BLOOMERY_FURNACE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Minerai
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Minerais
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,Pierre contenant des minerais métalliques qui peuvent être transformés en métal utilisable.
RESOURCE.PLANKS.NOUN,,Plank,Planche
RESOURCE.PLANKS.PLURAL,,Planks,Planches
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,Des parties du bois de taille fixe pour qu'elles puissent être facilement utilisées dans la construction et l'artisanat.
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Bouche de champignons
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Bûches de champignons
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,Cette bûche prédécoupée de champignons a été «choquée» dans l'eau pour encourager les champignons à se développer et devrait produire une récolte bientôt.
RESOURCE.STONE.BLOCK.NOUN,,Block,Bloc
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Blocs
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,Pierre qui a été façonnée en cube de sorte qu'il peut être facilement utilisé dans la construction ou l'artisanat.
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Rocher brut
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Rochers bruts
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,Un énorme morceau de pierre qui doit être ciselé dans une forme plus utile par un {{PROFESSION.STONEMASON}}.

ROOMS.BEDROOM,,Bedroom,Chambre
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.","Un endroit où vos colons peuvent dormir. Ils préfèrent avoir des chambres individuelles qui ont au moins 9 tuiles de taille, ou de préférence au moins 13 tuiles de taille."
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,Pont
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,Placé de l'autre côté de la rivière pour permettre l'accès à l'autre côté.
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Menuiserie
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,Cet atelier produit la plupart des outils et objets en bois.
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{alloué}} des {{total}} espaces actuellement utilisés
ROOMS.EARTHWORKS,,Earthworks,Travaux de terrassement
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,Un espace extérieur pour de grandes constructions.
ROOMS.FARM,,Farm plot,Champs
ROOMS.FARM.PLURAL,,Farm plots,Parcelles agricoles
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,Cultive des cultures en utilisant {{INGREDIENT.SEEDS.PLURAL}}. Doit être placé sur {{MATERIAL_TYPE.EARTH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall,Salle de festin
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!","Un endroit où les colons se rassemblent pour manger, boire et être joyeux!"
ROOMS.GRAVEYARD,,Graveyard,Cimetière
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,Les colons décédés sont mis au repos ici.
ROOMS.KITCHEN,,Kitchen,Cuisine
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,La plupart des aliments sont préparés ici avant d'être servis dans un {{ROOMS.FEASTING_HALL}}.
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Carrière
