KEY,NOTES,ENGLISH,ITALIAN
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Spesso confuso con il turchese, è in realtà un minerale di {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,coca
ORE.COKE.NOUN,,Coke,coca
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,Una forma raffinata di {ORE.BITUMINOUS_COAL}} che può essere utilizzata come {{FUEL.SACK}}.
ORE.GALENA.ADJECTIVE,,Galena,di galena
ORE.GALENA.NOUN,,Galena,Galena
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,Un minerale che può essere fuso per produrre {{METAL.SILVER}}.
ORE.HEMATITE.ADJECTIVE,,Hematite,di ematite
ORE.HEMATITE.NOUN,,Hematite,Ematite
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,Un minerale che può essere fuso per produrre {{METAL.IRON}}.
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Ilmenite
ORE.ILMENITE.NOUN,,Ilmenite,Ilmenite
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","Ilmenite è il minerale primario di titanio. Purtroppo, un mezzo di produzione di titanio è ancora da scoprire."
ORE.MALACHITE.ADJECTIVE,,Malachite,di malachite
ORE.MALACHITE.NOUN,,Malachite,Malachite
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,Un minerale che può essere fuso per produrre {{METAL.COPPER}}.
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,di rame nativo
ORE.NATIVE_COPPER.NOUN,,Native copper,Rame nativo
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,{{METAL.COPPER}} che deve essere fuso prima dell'uso.
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,d'oro nativo
ORE.NATIVE_GOLD.NOUN,,Native gold,Oro nativo
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,{{METAL.GOLD}} che deve essere fuso prima dell'uso.
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Platino nativo
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Platino nativo
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,{{METAL.PLATINUM} che deve essere fuso prima dell'uso.
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,d'argento nativo
ORE.NATIVE_SILVER.NOUN,,Native silver,Argento nativo
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,{{METAL.SILVER}} che deve essere fuso prima dell'uso.
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Pollucite
ORE.POLLUCITE.NOUN,,Pollucite,Pollucite
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","La pollucite è un minerale di cesio, attualmente troppo pericoloso da produrre. I metalfabbri nani particolarmente pazzi stanno attualmente cercando di trovare un metodo di produzione affidabile."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Oro dello stolto
ORE.PYRITE.NOUN,,Fool's gold,Oro dello stolto
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Conosciuta anche come Pirite, il suo aspetto giallo pallido fa sì che alcuni lo confondano con l'oro. Ha diversi usi quando viene schiacciato, ma bisogna fare attenzione perché scintilla quando viene colpito."
ORE.THORIUM.ADJECTIVE,,Thorium,Torium
ORE.THORIUM.NOUN,,Thorium,Torium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,Un minerale argentato metallico che diventa nero quando esposto all'aria. È stranamente caldo al tatto.
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframite
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframite
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,Un minerale metallico che complica la fusione dello stagno. Ha un punto di fusione troppo alto per essere fuso con processi normali.

OTHER.BRICK.NOUN,,Brick,Mattone
OTHER.CLAY_SOIL.NOUN,,Clay soil,Terreno argilloso
OTHER.GRASS.NOUN,,,Erba

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,Accetto
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Disabilita la segnalazione
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,Re sotto la montagna è in sviluppo attivo. Per aiutare
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,- La traccia dello stack dell'eccezione che ha causato l'arresto anomalo
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","diagnosticare e correggere i bug, fare clic su «Accetto» qui sotto per"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,invia automaticamente rapporti anonimi sugli arresti anomali.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,Questo è costituito solo dai seguenti dati:
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,- La versione del client di gioco
PRIVACY.OPT_IN.LINE_7,,- Your operating system,- Il tuo sistema operativo
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,- Le impostazioni della scheda grafica e dello schermo
PRIVACY.OPT_IN.LINE_9,,- Your options settings,- Impostazioni delle opzioni

PRODUCT.ANVIL,,Anvil,Incudine
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,Un grande blocco di metallo utilizzato per martellare il metallo riscaldato in forma. Richiesto per costruire un {{FURNITURE.FORGE}.
PRODUCT.BARREL.HOOPS,,Barrel hoops,Cerchi da barile
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,Cerchi metallici utilizzati per costruire un {{PRODUCT.BARREL.NOUN}}. Utilizzato anche in alcuni macchinari.
PRODUCT.BARREL.NOUN,,Barrel,Barile
PRODUCT.BARREL.PLURAL,,Barrels,Botti
PRODUCT.BARREL.STAVES,,Barrel staves,Assi da barile
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Tavole di legno curve utilizzate per costruire un {PRODUCT.BARREL.NOUN}}.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Contenitore cilindrico per liquidi. La forma curva rende più facile il rotolamento.
PRODUCT.BOWL,A bowl for eating from,Bowl,Ciotola
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Ciotola di {{cooking.soup.description}}
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Pasta
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Pasta
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,Un mix di ingredienti che può essere cotto in {{PRODUCT.BREAD.LOAF.PLURAL}} utilizzando un {{FURNITURE.BAKING_OVEN}}.
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Pane
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Pane
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Pane preparato, pronto da mangiare!"
PRODUCT.BUCKET.NOUN,,Bucket,Secchio
PRODUCT.BUCKET.PLURAL,,Buckets,Secchi
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,Un piccolo contenitore utilizzato per spostare i liquidi a mano.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Calderone
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Utilizzato da un {{PROFESSION.CHEF}} per preparare la zuppa in un {{ROOMS.KITHIN}}, dove viene poi spostato in un {{ROOMS.FEASTING_HALL}}."
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,Macina
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,Due grandi dischi di pietra che vengono macinati insieme per macinare le colture raccolte. Utilizzato per costruire un {{FURNITURE.FLOUR_MILL}}.
PRODUCT.RATION.NOUN,,Ration,Razione
PRODUCT.RATION.PLURAL,,Rations,Razioni
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Questi dureranno a lungo per sfamare i tuoi coloni, ma avrai bisogno di altre fonti di cibo come priorità."

PROFESSION.BAKER.VERB,,Baking,Sta cuocendo
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Fabbro
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Fabbro
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Artigianato oggetti utilizzando metallo e produce anche metallo da minerale.
PROFESSION.BLACKSMITH.VERB,,Forging,Sta forgiando
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Artigiana
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Artigiano
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Crea mobili e oggetti in legno.
PROFESSION.CARPENTER.VERB,,Crafting,Sta producendo
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Chef
PROFESSION.CHEF.MALE_NOUN,,Chef,Chef
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,Prepara tutto il cibo da consumare dai tuoi coloni.
PROFESSION.CHEF.VERB,,Cooking,Sta cucinando
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Coltivatrice
PROFESSION.FARMER.MALE_NOUN,,Farmer,Coltivatore
PROFESSION.FARMER.PLURAL,,Farmers,Agricoltori
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Piante, tende e raccoglie le colture."
PROFESSION.FARMER.VERB,,Farming,Sta coltivando
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Pescatrice
PROFESSION.FISHER.MALE_NOUN,,Fisher,Pescatore
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Cattura pesci da corpi idrici per essere utilizzati come cibo e risorse.
PROFESSION.FISHER.VERB,,Fishing,Sta pescando
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Cacciatrice
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Cacciatore
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Traccia e uccide gli animali selvatici per la loro carne e pelli.
PROFESSION.HUNTER.VERB,,Hunting,Sta cacciando
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Sindaco
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Sindaco
PROFESSION.MAYOR.VERB,,Governing,Sta governando
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Mercante
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Mercante
PROFESSION.MERCHANT.VERB,,Trading,Sta commerciando
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Fresatura
PROFESSION.MINER.FEMALE_NOUN,,Miner,Minatrice
PROFESSION.MINER.MALE_NOUN,,Miner,Minatore
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Scava nuove aree usando un {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Sta scavando
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Nobildonna
PROFESSION.NOBLE.MALE_NOUN,,Noble,Nobiluomo
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","I nobili non svolgono lavori allo stesso modo dei coloni comuni, ma portano fama e prestigio al vostro insediamento."
PROFESSION.NOBLE.VERB,,Reigning,Sta regnando
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Forgiarune
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Forgiarune
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Incanta armi, armature e oggetti con rune magiche per potenziare le loro abilità."
PROFESSION.RUNESMITH.VERB,,Enchanting,Sta incantando
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Tagliapietre
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Tagliapietre
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Artigianato mobili e oggetti in pietra.
PROFESSION.STONEMASON.VERB,,Sculpting,Sta lavorando
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Stagnaia
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Stagnaio
PROFESSION.TINKERER.VERB,,Tinkering,Sta riparando
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Abitante del villaggio
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Abitante del villaggio
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,Questo colono non ha alcuna professione specifica e svolgerà compiti banali come il trasporto di oggetti.
PROFESSION.VILLAGER.VERB,,Working,Sta lavorando
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Taglialegna
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Taglialegna
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,Taglia gli alberi come legname che può essere utilizzato in un {{ROOMS.SEWMILL}}.
PROFESSION.WOODCUTTER.VERB,,Chopping,Sta tagliando

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,nana
RACE.DWARF.FEMALE_NOUN,,Dwarf,Nana
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Nane
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,nano
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Nano
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Nani
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,I nani sono umanoidi corti e tozzosi. Sono maestri nel lavorare con la pietra e il metallo. La maggior parte dei nani diffidano del cielo e preferiscono rimanere sottoterra.

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Vitriolo
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Vitriolo
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Un sale di acido solforico con molti usi nell'industria. (Gli usi di vetriolo non sono ancora implementati in Re sotto la Montagna)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Farina
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Farina
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,Grano che è stato macinato in una polvere fine pronto per essere utilizzato come ingrediente nella produzione di alimenti.
RESOURCE.GEM.NOUN,,Gem,Gemma
RESOURCE.GEM.PLURAL,,Gems,Gemme
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,Gemme tagliate e lucidate per esaltare la loro bellezza. Più comunemente usato come decorazione.
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Gemma grezza
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Gemme grezze
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,Un pezzo di roccia contenente gemme pronte per essere tagliate e lucidate.
RESOURCE.LOGS.NOUN,,Log,Tronco
RESOURCE.LOGS.PLURAL,,Logs,Tronchi
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Sezioni di un albero che sono più comunemente preparate in {{RESOURCE.PLANKS.PLURAL}}, ma hanno anche altri usi."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Fioritura
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Fiorisce
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,Un pezzo di metallo mescolato con scorie che deve essere martellato in una forma utilizzabile.
RESOURCE.METAL.INGOT.NOUN,,Ingot,Lingotto
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Lingotti
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Raffinati blocchi di metallo, pronti per essere utilizzati come ingrediente artigianale."
RESOURCE.METAL.PLATE.NOUN,,Plate,Piatto
RESOURCE.METAL.PLATE.PLURAL,,Plates,Piatti
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",Piastre grandi e piane utilizzate in alcuni dei macchinari più grandi.
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Log di funghi
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Tronchi di funghi
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,Un registro che è stato infuso con {{INDIENT.MUSHROOM.SPAWN.NOUN}}. Il corpo del tronco stesso è dove i funghi attingono sostanze nutritive. Richiede il bagnamento in un {{FURNITURE.MUSHROOM_SHOCK_TANK}} dopo essere diventato completamente innoculato.
RESOURCE.MUSHROOM.LUMBER.NOUN,,Log,Tronco
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Logs,Tronchi
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,Sezioni di un fungo gigante che possono essere utilizzate allo stesso modo del legno {{RESOURCE.LOGS.PLURAL}}.
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Minerale tritato
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Minerale tritato
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","Una sabbia metallica creata dalla demolizione del minerale di metallo grezzo, pronta per l'uso in un {{FURNITURE.BLOOMERY_FURNCE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Minerale grezzo
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Minerali grezzi
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,Pietra che contiene minerali metallici che possono essere trasformati in metallo utilizzabile.
RESOURCE.PLANKS.NOUN,,Plank,Asse
RESOURCE.PLANKS.PLURAL,,Planks,Assi
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,Sezioni di legno di dimensioni fisse in modo che possano essere facilmente utilizzate in costruzioni e artigianato.
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Log di funghi
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Tronchi di funghi
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,Questo tronco infuso di funghi è stato «scioccato» in acqua per incoraggiare i funghi a svilupparsi e dovrebbe produrre presto un raccolto.
RESOURCE.STONE.BLOCK.NOUN,,Block,Blocco
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Blocchi
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,Pietra che è stata modellata in un cubo in modo che possa essere facilmente utilizzata nella costruzione o nella lavorazione.
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Blocco di pietra grezza
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Blocchi di pietra grezza
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,Un enorme pezzo di pietra che deve essere cesellato in una forma più utile da un {{PROFESSION.STONEMASON}}.

ROOMS.BEDROOM,,Bedroom,Camera da letto
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.","Un posto dove dormire i tuoi Settler. Preferiscono avere camere singole di almeno 9 piastrelle di dimensioni, e preferibilmente di almeno 13 piastrelle di dimensioni."
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,Ponte
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,Posizionato attraverso il fiume per consentire l'accesso all'altro lato.
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Falegnameria
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,Questo laboratorio produce la maggior parte degli utensili e degli oggetti in legno.
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{allocato}} di {{total}} spazi attualmente in uso
ROOMS.EARTHWORKS,,Earthworks,Lavori di terra
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,Uno spazio esterno per grandi costruzioni.
ROOMS.FARM,,Farm plot,Campo da coltivare
ROOMS.FARM.PLURAL,,Farm plots,Parcelle agricole
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,Coltiva colture utilizzando {{INGREDIENT.SEEDS.PLURAL}}. Deve essere inserito su {{MATERIAL_TYPE.EARTH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall,Sala delle feste
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!","Un posto dove i coloni si riuniscono per mangiare, bere ed essere allegri!"
ROOMS.GRAVEYARD,,Graveyard,Cimitero
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,I coloni defunti sono messi a riposo qui.
ROOMS.KITCHEN,,Kitchen,Cucina
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,La maggior parte del cibo viene preparata qui prima di essere servita in un {{ROOMS.FEASTING_HALL}}.
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Cantiere
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,Questo laboratorio produce la maggior parte degli articoli in pietra.
ROOMS.METALWORKS,,Metalworks,Lavorazioni metallurgiche
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,Il minerale metallico è raffinato e utilizzato nella lavorazione qui.
ROOMS.MUSHROOM_FARM,,Mushroom farm,Fattoria di funghi
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,I funghi possono essere coltivati utilizzando {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} e legno {{RESOURCE.LOGS.PLURAL}}.
ROOMS.SAWMILL,,Sawmill,Segheria
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,Il legno {{RESOURCE.LOGS.PLURAL}} è raffinato in {{RESOURCE.PLANKS.PLURAL}} qui.
ROOMS.STOCKPILES,,Stockpiles,Magazzini
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,Gli articoli non utilizzati sono collocati in scorte per un facile accesso.

SEASON.AUTUMN,,Autumn,Autunno
SEASON.SPRING,,Spring,Primavera
SEASON.SUMMER,,Summer,Estate
SEASON.WINTER,,Winter,Inverno

SEED.BARLEY_SEED,,Barley,Orzo
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un grano utilizzato solo nella produzione di birra. Può essere piantato in {{SEASONON.SPRING}}, {{SEASONON.SUMMER}} o {{SEASON.AUTUMN}}."
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,Berserker
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,Un fungo con un cappuccio rosa-rosso che porta macchie bianche. Ha proprietà allucinogene che i guerrieri a volte usano in preparazione alla battaglia.
SEED.CARROT_SEED,,Carrot,Carota
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Un ortaggio a radice resistente che sopravvive al gelo {{SEASONON.WINTER}}. Le carote crescono rapidamente ma producono solo un piccolo raccolto. Può essere piantato in {{SEASONON.SPRING}}, {{SEASONON.SUMMER}} o {{SEASON.AUTUMN}}."
SEED.CORN_SEED,,Corn,Mais
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","Un grano di cereali conosciuto anche come mais. Produce un raccolto abbondante ma richiede circa 2 stagioni per crescere e non può sopravvivere a {{SEASONON.WINTER}}, quindi richiede la semina all'inizio di {{SEASONON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap,Berretto mortale
