KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
HINT.BUILD_POWER.2,,"These are placed below the ground, so make sure your settlers can access each tile from the side.",它们铺设在地底，所以务必保证殖民者能从侧边使用每个区格。
HINT.BUILD_POWER.3,,Constructions which require or produce power will display a red or green icon indicating if they are an input or output to the network.,需要或生产动能的建筑物会用红色或绿色的图标标明。
HINT.BUILD_ROOFING.1,,"This view allows you to see which tiles are outside with no roof above them (light blue), and those which have had a roof built overhead (dark brown).",该视图能让你查看没有屋顶（浅蓝色）以及拥有屋顶（深褐色）的区格。
HINT.BUILD_ROOFING.2,,"You can use the {{GUI.ROOFING.ADD}} and {{GUI.CANCEL_LABEL}} options to queue up roofing to be constructed, and {{GUI.DECONSTRUCT_LABEL}} to remove any existing roof tiles.",你可以使用{{GUI.ROOFING.ADD}}和{{GUI.CANCEL_LABEL}}功能将屋顶加入建造队列，还可以用{{GUI.DECONSTRUCT_LABEL}}拆除现有的屋顶区格。
HINT.BUILD_ROOFING.3,,A roof can only be constructed within 3 tiles of a wall or {{FURNITURE.PILLAR}}.,屋顶只能在墙壁或{{FURNITURE.PILLAR}}的三格范围内建造。
HINT.BUTTON.DISABLE_ALL,,Disable all hints,禁用所有提示
HINT.BUTTON.DISMISS,,Dismiss,遣散
HINT.BUTTON.HINTS_ONLY,,Hints only,仅限提示。
HINT.BUTTON.NEXT,,Next,下一个
HINT.BUTTON.TUTORIAL,,Tutorial,教程
HINT.OPEN_PRIORITY_MENU.1,,"You can use this menu to change the priority of jobs and tasks, so that higher priority jobs will be assigned before lower priority jobs.",你可以使用此菜单更改工作和差事的优先级，分配的顺序按优先级处理。
HINT.OPEN_PRIORITY_MENU.2,,"While the Priority menu is open, the priority icons are shown in the game world where there is a job or task to be performed, or where a room or item of furniture may create jobs in the future.",打开优先级菜单的时候，游戏中会显示图标，代表需要完成的任务或工作，或者以后会需要工作的房间、家具。
HINT.PROGRESS.HEADER,,Progress:,进度：
HINT.TOOL_DEPLETED.AXE1,,Your settlement no longer has an {{TOOL.AXE}} available. You will no longer be able to chop down trees.,你的殖民地没有可以使用的{{TOOL.AXE}}了。殖民者们将无法砍伐树木。
HINT.TOOL_DEPLETED.AXE2,,"More axes can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}}.",使用{{FURNITURE.FORGE}}可以锻造斧头。如果没有{{FURNITURE.FORGE}}，你或许需要移除{{FURNITURE.WOODCUTTERS_BENCH}}。
HINT.TOOL_DEPLETED.CHISEL1,,Your settlement no longer has a {{TOOL.CHISEL}} available. This is required to construct stone furniture.,你的殖民地没有可以使用的{{TOOL.CHISEL}}了。它是建造石材家具的必备工具。
HINT.TOOL_DEPLETED.CHISEL2,,"More chisels can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.STONEMASON_WORKBENCH}}.",使用{{FURNITURE.FORGE}}可以锻造凿子。如果没有{{FURNITURE.FORGE}}，你或许需要移除{{FURNITURE.STONEMASON_WORKBENCH}}。
HINT.TOOL_DEPLETED.PLANE1,,Your settlement no longer has a {{TOOL.PLANE}} available. This is required to construct wooden furniture.,你的殖民地没有可以使用的{{TOOL.PLANE}}了。它是建造木材家具的必备工具。
HINT.TOOL_DEPLETED.PLANE2,,More planes can be crafted at the {{FURNITURE.CARPENTRY_WORKBENCH}} from a {{RESOURCE.PLANKS.NOUN}}.,使用{{RESOURCE.PLANKS.NOUN}}即可在{{FURNITURE.CARPENTRY_WORKBENCH}}制造刨子。
HINT.TOOL_DEPLETED.SAW1,,Your settlement no longer has a {{TOOL.SAW}} available. This is required to build a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.,你的殖民地没有可以使用的{{TOOL.SAW}}了。它是建造{{FURNITURE.WOODCUTTERS_BENCH}}或{{FURNITURE.CARPENTRY_WORKBENCH}}的必备工具。
HINT.TOOL_DEPLETED.SAW2,,"More saws can be crafted at the {{FURNITURE.FORGE}}. If you do not have a {{FURNITURE.FORGE}} up and running, you may need to remove a {{FURNITURE.WOODCUTTERS_BENCH}} or {{FURNITURE.CARPENTRY_WORKBENCH}}.",使用{{FURNITURE.FORGE}}可以制造手锯。如果没有{{FURNITURE.FORGE}}，你或许需要移除{{FURNITURE.WOODCUTTERS_BENCH}}或{{FURNITURE.CARPENTRY_WORKBENCH}}。
HINT.WEAPON_SELECTION.1,,Use this view to select a type of weapon that the settler will keep in their inventory in case of combat.,使用此界面可以为殖民者选择存放在背包的武器，以备不时之需。
HINT.WEAPON_SELECTION.2,,It is strongly recommended you assign a ranged weapon such as a {{WEAPON.BOW}} or {{WEAPON.CROSSBOW}} to those settlers assigned as a {{PROFESSION.HUNTER}}.,强烈建议将{{WEAPON.BOW}}或{{WEAPON.CROSSBOW}}这类远程武器分配给{{PROFESSION.HUNTER}}。
HINT.WEAPON_SELECTION.3,,Weapons which you do not have available are displayed in red.,尚未拥有的武器显示为红色。
HINT.WELCOME.INTRO,,"Welcome to the world of King under the Mountain! This is an early alpha version of the game with many more features and gameplay elements still to be implemented. Your intrepid band of dwarven settlers have chosen this area to found a new colony of their kingdom. Provide food, shelter and prosperity for them and who knows, maybe one day this will be the capital of a kingdom of its own!",欢迎来到King under the Mountain！游戏尚处于早期测试阶段，许多功能和元素将会在后期陆续添加。你麾下英勇无畏的矮人殖民者希望为他们的王国在这里建造全新的殖民地。为他们提供食物、住处，或许终有一日这里将成为王国的首都！
HINT.WELCOME.NEXT_STEPS,,"Click “Tutorial” to be guided through the basics, “Hints only” to skip the tutorial but be provided with info as you play, or “Disable all hints” to stop showing these messages.",点击“教程”熟悉游戏的基础知识，“仅限提示”会跳过教程，但在游戏中会提供各类信息，“禁用所有提示”会不再显示这类信息。
HINT.WELCOME.PRE_SPAWN,,"Start the game by selecting a location on the map with enough space, and clicking the '{{GUI.EMBARK.START}}' button.",在地图上点击任意地点，然后点击'{{GUI.EMBARK.START}}'即可开始游戏。

HUMANOID.BROKEN.DESCRIPTION,"E.g. “Urist McScrooge, insane dwarf”","{{name}}, {{madness.adjective}} {{race.noun}}","{{name}}, {{madness.adjective}} {{race.noun}}"
HUMANOID.DESCRIPTION,"E.g. “Urist McScrooge, Dwarven miner”","{{name}}, {{race.adjective}} {{profession.noun}}","{{name}}, {{race.adjective}} {{profession.noun}}"

INGREDIENT.DOUGH,To be combined with the above as “bread dough”,Dough,面团
INGREDIENT.FLOUR,,Flour,面粉
INGREDIENT.LOAF,To be combined with the above as “bread loaf”,Loaf,（条）
INGREDIENT.LOAF.PLURAL,,Loaves,（条）
INGREDIENT.MALT.SACK.NOUN,,Malt,麦芽
INGREDIENT.MALT.SACK.TOOLTIP,,This needs to be milled before it can be used further for brewing.,需要研磨后才能进行酿制。
INGREDIENT.MILLED.MALT.SACK.NOUN,,Milled malt,磨碎的麦芽
INGREDIENT.MILLED.MALT.SACK.TOOLTIP,,This is combined with water in a {{FURNITURE.MASH_TUN}} to produce {{LIQUID.WORT}}.,与水共同加入{{FURNITURE.MASH_TUN}}后能生产{{LIQUID.WORT}}。
INGREDIENT.MUSHROOM.SPAWN.NOUN,,Mushroom spawn,菌种
INGREDIENT.MUSHROOM.SPAWN.PLURAL,,Mushroom spawn,菌种
INGREDIENT.MUSHROOM.SPAWN.TOOLTIP,,"Also known as mycelium, this can be thought of as “seeds” from which to grow mushrooms in a {{ROOMS.MUSHROOM_FARM}}.",也称为菌丝体，可以将它们比作在{{ROOMS.MUSHROOM_FARM}}用来培养蘑菇的“种子”。
INGREDIENT.SEEDS.NOUN,E.g. “Wheat seed”,Seed,种子
INGREDIENT.SEEDS.PLURAL,E.g. “4 wheat seeds”,Seeds,种子
INGREDIENT.SEEDS.TOOLTIP,,Seeds of the right type are required for planting in a {{ROOMS.FARM}}. They also need to be available in a {{STOCKPILE.GRANARY}} stockpile.,类型合适的种子可以在{{ROOMS.FARM}}种植。另外还需要它们能通过{{STOCKPILE.GRANARY}}获得。
INGREDIENT.VEGETABLE.CRATE.NOUN,,Vegetable (crate),蔬菜（箱）
INGREDIENT.VEGETABLE.CRATE.PLURAL,,Vegetables (crate),蔬菜（箱）
INGREDIENT.VEGETABLE.SACK.NOUN,,Vegetable (sack),蔬菜（袋）
INGREDIENT.VEGETABLE.SACK.PLURAL,,Vegetables (sack),蔬菜（袋）

INVENTORY.CONTAINS.LABEL,This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character,Inventory:,背包：

ITEM.DESCRIPTION,"E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”",{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}
ITEM.INGREDIENT.DESCRIPTION,E.g. “2 potatoes”,{{quantity_if_multiple}}{{materialType.noun_or_plural}},{{quantity_if_multiple}}{{materialType.noun_or_plural}}

ITEM_GROUP.FUEL.PLURAL,,Fuel,燃料
ITEM_GROUP.PRODUCT.PLURAL,,Products,产品
ITEM_GROUP.RESOURCE.PLURAL,,Resources,资源
ITEM_GROUP.TOOL.PLURAL,,Tools,工具

LANGUAGE.LABEL,,Language,语言

LIQUID.BEER.NOUN,,Beer,啤酒
LIQUID.BEER.TOOLTIP,,"Beloved by dwarves, this will provide a substantial happiness bonus for a while. The only problem is that they will eventually require it to get through the working day.",矮人的最爱，啤酒能让他们短时间内获得充足的幸福感。但唯一的问题是最终他们需要酒精渡过工作日。
LIQUID.HOPPED_WORT.NOUN,,Hopped wort,麦芽汁（加酒花）
LIQUID.HOPPED_WORT.TOOLTIP,,This is the final stage of unfermented beer before it is placed in a {{FERMENTATION_TANK}} to produce drinkable beer.,未发酵啤酒的最终阶段，之后便可以放入{{FERMENTATION_TANK}}制作可以饮用的啤酒。
LIQUID.WATER.NOUN,,Water,水
LIQUID.WORT.NOUN,,Wort,麦芽汁
LIQUID.WORT.TOOLTIP,,"This is unfermented beer, it requires {{VEGETABLE.HOPS}} to be added in a {{FURNITURE.BREW_KETTLE}} for flavour before it can be fermented.",未发酵的啤酒，需要将{{VEGETABLE.HOPS}}添加至{{FURNITURE.BREW_KETTLE}}中增添风味，然后再进行发酵。

MADNESS.BROKEN.ADJECTIVE,,Broken,断裂
MADNESS.BROKEN.TOOLTIP,,"This settler was so unhappy that they have been pushed past the breaking point and will no longer work or even eat! ","这名殖民者的情绪非常低落，已经到了崩溃的程度，不仅不再工作，而且茶饭不思！ "

MATERIAL,Used for specifying which material something is made out of,Material,材料

MATERIAL_TYPE,,Type,类型
MATERIAL_TYPE.ANY,For allowing any kind of material to be used,Any,任意
MATERIAL_TYPE.CLOTH.ADJECTIVE,," "," "
MATERIAL_TYPE.CLOTH.NOUN,," "," "
MATERIAL_TYPE.EARTH.ADJECTIVE,,Earthen,土制的
MATERIAL_TYPE.EARTH.NOUN,,Earth,泥土
MATERIAL_TYPE.FOODSTUFF.NOUN,,Food,食物
MATERIAL_TYPE.GEM.NOUN,This is only used as a noun,Gem,宝石
MATERIAL_TYPE.METAL.ADJECTIVE,,Metallic,金属
MATERIAL_TYPE.METAL.NOUN,,Metal,金属
MATERIAL_TYPE.ORE.NOUN,This is only used as a noun,Ore,矿石
MATERIAL_TYPE.OTHER.NOUN,This isn't actually used in-game yet so won't be combined with other words,Other,其他
MATERIAL_TYPE.ROPE.ADJECTIVE,," "," "
MATERIAL_TYPE.ROPE.NOUN,," "," "
MATERIAL_TYPE.SEED.NOUN,For saying something is “made up of seed”,Seed,种子
MATERIAL_TYPE.STONE.ADJECTIVE,,,
MATERIAL_TYPE.STONE.NOUN,,Stone,石头
MATERIAL_TYPE.VEGETABLE.NOUN,Used to make up “Vegetable soup”,Vegetable,蔬菜
MATERIAL_TYPE.VITRIOL.ADJECTIVE,,Vitriol of,硫酸盐
MATERIAL_TYPE.VITRIOL.NOUN,,Vitriol,硫酸盐
MATERIAL_TYPE.WOOD.ADJECTIVE,,Wooden,木头
MATERIAL_TYPE.WOOD.NOUN,,Wood,木头

MEAT.BOAR_MEAT,,Boar,野猪
MEAT.CARP_MEAT.NOUN,,Carp,鲤鱼
MEAT.CARP_MEAT.PLURAL,,Carp,鲤鱼
MEAT.DEER_MEAT,,Deer,鹿
MEAT.DWARF_FLESH,,Dwarf flesh,矮人血肉
MEAT.ELEPHANT_MEAT,,Elephant,
MEAT.FOX_MEAT,,Fox,狐狸
MEAT.PERCH_MEAT.NOUN,,Perch,鲈鱼
MEAT.PERCH_MEAT.PLURAL,,Perch,鲈鱼
MEAT.PIKE_MEAT.NOUN,,Pike,梭子鱼
MEAT.PIKE_MEAT.PLURAL,,Pike,梭子鱼

MECHANISM.FURNITURE.CONSUMING_POWER,,Working - consuming {{power}} power,正在运转 - 消耗{{power}}动能
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER,,Working very slowly - not enough power,缓慢运转 - 动能不足
MECHANISM.FURNITURE.CRAFTING_STATION_REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.,此家具需要与动力源相连，比如{{FURNITURE.WINDMILL}}或{{FURNITURE.WATERWHEEL}}。
MECHANISM.FURNITURE.PRODUCING_POWER,,Working - producing {{power}} power,正在运行 - 生产{{power}}动能
MECHANISM.FURNITURE.REQUIRES_OUTSIDE_PLACEMENT,,This must be outside to function correctly,必须在室外才能正常运转
MECHANISM.FURNITURE.REQUIRES_POWER,,Disabled - not enough power,停用 - 动力不足
MECHANISM.FURNITURE.REQUIRES_POWER.TOOLTIP,,This furniture requires an underground power connection to a power-producer such as a {{FURNITURE.WINDMILL}} or {{FURNITURE.WATERWHEEL}}.,此家具需要与动力源相连，比如{{FURNITURE.WINDMILL}}或{{FURNITURE.WATERWHEEL}}。
MECHANISM.FURNITURE.REQUIRES_POWER_GRID,,Disabled - connect to an underground power connection,停用 - 与地下动能网络连接
MECHANISM.FURNITURE.REQUIRES_POWER_GRID.TOOLTIP,,This furniture requires an underground power connection - see the {{GUI.BUILD.POWER}} option in the {{GUI.BUILD_LABEL}} menu.,此家具需要地下动能连接 - 在{{GUI.BUILD_LABEL}}菜单中查看{{GUI.BUILD.POWER}}设置。
MECHANISM.STONE.GEAR.NOUN,,Gear assembly,齿轮组件
MECHANISM.STONE.GEAR.TOOLTIP,,This contraption links up mechanical power in all 4 directions.,此装置能连接4个方向的机械动力。
MECHANISM.WOODEN.SHAFT.NOUN,,Shaft,连接杆
MECHANISM.WOODEN.SHAFT.TOOLTIP,,A wooden shaft links mechanical power in 2 directions.,木杆，能连接2个方向的机械动能。

MENU.CONTINUE_GAME,,Continue game,继续游戏
MENU.LOAD_GAME,,Load game,加载游戏
MENU.MODS,,Mods,MOD
MENU.NEW_GAME,,Start new game,开始新游戏
MENU.OPTIONS,,Options,设置
MENU.QUIT,,Quit,退出
MENU.TOGGLE_FULLSCREEN,,Toggle fullscreen,切换全屏

METAL.BRONZE.ADJECTIVE,,Bronze,青铜
METAL.BRONZE.NOUN,,Bronze,青铜
METAL.BRONZE.TOOLTIP,,Bronze is an alloy of copper and tin. It is harder and much more durable than copper alone. (Alloys have not yet been implemented in King under the Mountain),铜和锡的合金。比铜更硬、更耐用。（合金尚未在游戏内实装）
METAL.COPPER.ADJECTIVE,,Copper,铜
METAL.COPPER.NOUN,,Copper,铜
METAL.COPPER.TOOLTIP,,"As well as occuring naturally as {{ORE.NATIVE_COPPER.NOUN}}, it is also easy to smelt from {{ORE.MALACHITE.NOUN}} ore. Copper has many uses, particularly in coinage, though it is not hard enough to create effective weapons.",自然界中就有{{ORE.NATIVE_COPPER.NOUN}}，通过熔炼{{ORE.MALACHITE.NOUN}}也可以轻松获得。铜具有非常广泛的用途，尤其是制作货币，但由于硬度不够，无法做出较好的武器。
METAL.COPPER_PATINA.ADJECTIVE,,Copper,铜
METAL.COPPER_PATINA.NOUN,,Copper (Patina),铜（绿锈）
METAL.COPPER_PATINA.TOOLTIP,,{{METAL.COPPER.TOOLTIP}},{{METAL.COPPER.TOOLTIP}}
METAL.GOLD.ADJECTIVE,,Golden,黄金
METAL.GOLD.NOUN,,Gold,黄金
METAL.GOLD.TOOLTIP,,"The king of metals. Although it is not the rarest or most valuable, gold is the most coveted metal by most races – particularly dwarves.",金属中的王者。尽管并非最稀有或最珍贵，但依旧是大多数种族梦寐以求的东西，尤其是矮人。
METAL.IRON.ADJECTIVE,,Iron,铁
METAL.IRON.NOUN,,Iron,铁
METAL.IRON.TOOLTIP,,It is a poor military which does not have access to iron. Dwarven metalsmiths know the secrets of working this into {{METAL.STEEL.NOUN}}.,贫穷的军队没有铁资源。矮人的铁匠知道将它打造成{{METAL.STEEL.NOUN}}的秘诀。
METAL.PLATINUM.ADJECTIVE,,Platinum,白金
METAL.PLATINUM.NOUN,,Platinum,白金
METAL.PLATINUM.TOOLTIP,,A silver-white metal that is highly resistant to corrosion. Platinum is rarer and therefore more valuable than {{METAL.GOLD.NOUN}}.,银白色的金属，具有较强的抗腐蚀性。白金更加稀有，所以比{{METAL.GOLD.NOUN}}更加珍贵。
METAL.RUSTED_IRON.ADJECTIVE,,Rusted iron,锈铁
METAL.RUSTED_IRON.NOUN,,Rust,铁锈
METAL.RUSTED_IRON.TOOLTIP,,Iron turns to rust when exposed to rain for a long period. Eventually this will decay completely!,铁长时间暴露在雨中会生锈。最终它会彻底衰败。
METAL.SILVER.ADJECTIVE,,Silver,白银
METAL.SILVER.NOUN,,Silver,白银
METAL.SILVER.TOOLTIP,,"Like {{METAL.GOLD.NOUN}}, silver is often used for coinage and as solid bars for the trading of wealth. ","白银与{{METAL.GOLD.NOUN}}类似，通常熔炼成货币和条状用于交易。 "
METAL.STEEL.ADJECTIVE,,Steel,钢
METAL.STEEL.NOUN,,Steel,钢
METAL.STEEL.TOOLTIP,,"Far stronger than {{METAL.IRON.NOUN}} which makes for superior weapons and tools, only the dwarves know the secret of creating steel.",强度远胜于{{METAL.IRON.NOUN}}，制作精良武器和工具的材料。只有矮人掌握了冶炼钢的技术。
METAL.TIN.ADJECTIVE,,Tin,锡
METAL.TIN.NOUN,,Tin,锡
METAL.TIN.TOOLTIP,,Tin can be smelted from {{ORE.CASSITERITE.NOUN}} and alloyed with {{METAL.COPPER.NOUN}} to produce {{METAL.BRONZE.NOUN}}. (Alloys have not yet been implemented in King under the Mountain),熔炼{{ORE.CASSITERITE.NOUN}}可获得锡，与{{METAL.COPPER.NOUN}}混合熔化能生产{{METAL.BRONZE.NOUN}}。（合金尚未在游戏内实装）

MODS.APPLY,,Apply,应用
MODS.COMPATIBILITY.COMPATIBLE,,Yes,是
MODS.COMPATIBILITY.INCOMPATIBLE,,No,否
MODS.COMPATIBILITY.UNKNOWN,,Unknown,未知
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,该存档最近使用时应用了如下MOD。但现在缺失或禁用了这些MOD，导致无法正确加载存档。
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:",无法加载存档，可能不兼容游戏版本，或部分MOD遭到禁用或移除。无法生效的MOD如下：
MODS.TABLE.COMPATIBILITY,,Compatible?,兼容？
MODS.TABLE.ENABLED,,Enabled?,启用？
MODS.TABLE.NAME,,Mod Name,MOD名
MODS.TABLE.ORDERING,,Re-order,重新排序
MODS.TABLE.VERSION,,Mod Version,MOD版本

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,饮水
NEEDS.FOOD,,Food,食物
NEEDS.SLEEP,,Sleep,睡觉

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,你的矿工发现了新区域！
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,探索
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.",{{character}}死于{{reason}}。
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},死因：{{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,殖民者死亡
NOTIFICATION.FIRE_STARTED.DESCRIPTION,,A fire has broken out in your settlement!,你的殖民地发生了火灾！
NOTIFICATION.FIRE_STARTED.TITLE,,Fire!,火！
NOTIFICATION.FISH_EXHAUSTED.DESCRIPTION,,You have over-fished the river to such an extent that there are no more fish left. You will have to wait until the spawning season next spring for the fish to return.,由于过度捕鱼，河流中已经没有鱼了。你必须等到明年春天的产卵季。
NOTIFICATION.FISH_EXHAUSTED.TITLE,,Fish depopulated,捕捞过度
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,万事万物都将迎来终结。你的殖民地已经荒废。
NOTIFICATION.GAME_OVER.TITLE,,Game Over,游戏结束
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,殖民地的繁荣引来了许多新的外来移民，人口因此增长。
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,移民
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,由于缺少支柱或支撑，区域已坍塌。
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,矿井坍塌
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.,由于长期暴露在雨中，物品或家具已经损坏。\n诸如铁和钢的材料不应该长时间放在室外。
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted away,锈蚀
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,由于缺少支柱或支撑，屋顶已坍塌。
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof collapsed,屋顶坍塌
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,折磨的艰难生活让{{character}}不堪重负。
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,精神崩溃
NOTIFICATION.SETTLER_TANTRUM.DESCRIPTION,,{{character}} has become so unhappy that they are throwing a tantrum!,{{character}}变得闷闷不乐，在乱发脾气！
NOTIFICATION.SETTLER_TANTRUM.TITLE,,Tantrum!,发脾气！

ORE.BAUXITE.ADJECTIVE,,Bauxite,铝土矿
ORE.BAUXITE.NOUN,,Bauxite,铝土矿
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.",铝土矿是最主要的含铝矿物。但非常可惜，生产铝的途径尚未发现。
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,烟煤
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,烟煤
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,用{{FURNITURE.COKE_OVEN}}能将它转化为{{ORE.COKE.NOUN}}。
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,锡石
ORE.CASSITERITE.NOUN,,Cassiterite,锡石
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,熔炼后可生产{{METAL.TIN.NOUN}}。
ORE.CHARCOAL.ADJECTIVE,,Charcoal,木炭
ORE.CHARCOAL.NOUN,,Charcoal,木炭
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,使用{{RESOURCE.LOGS.PLURAL}}生产获得的{{FUEL.SACK}}。
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,硅孔雀石
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,硅孔雀石
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.",经常与绿松石混淆，但它其实是一种{{METAL.COPPER}}矿石。
ORE.COKE.ADJECTIVE,,Coke,焦炭
ORE.COKE.NOUN,,Coke,焦炭
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,精炼{{ORE.BITUMINOUS_COAL}}获得的产物，可用作{{FUEL.SACK}}。
ORE.GALENA.ADJECTIVE,,Galena,方铅矿
ORE.GALENA.NOUN,,Galena,方铅矿
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,熔炼后可生产{{METAL.SILVER}}的矿石。
ORE.HEMATITE.ADJECTIVE,,Hematite,赤铁矿
ORE.HEMATITE.NOUN,,Hematite,赤铁矿
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,熔炼后可生产{{METAL.IRON}}的矿石。
ORE.ILMENITE.ADJECTIVE,,Ilmenite,钛铁矿
ORE.ILMENITE.NOUN,,Ilmenite,钛铁矿
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.",钛铁矿是提炼钛的主要矿石。但非常可惜，生产钛的途径尚未发现。
ORE.MALACHITE.ADJECTIVE,,Malachite,孔雀石
ORE.MALACHITE.NOUN,,Malachite,孔雀石
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,熔炼后可生产{{METAL.COPPER}}的矿石。
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,自然铜
ORE.NATIVE_COPPER.NOUN,,Native copper,自然铜
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,自然形成的{{METAL.COPPER}}，使用前必须冶炼。
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,自然金
ORE.NATIVE_GOLD.NOUN,,Native gold,自然金
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,自然形成的{{METAL.GOLD}}，使用前必须冶炼。
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,自然铂
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,自然铂
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,自然形成的{{METAL.PLATINUM}}，使用前必须冶炼。
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,自然银
ORE.NATIVE_SILVER.NOUN,,Native silver,自然银
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,自然形成的{{METAL.SILVER}}，使用前必须冶炼。
ORE.POLLUCITE.ADJECTIVE,,Pollucite,铯榴石
ORE.POLLUCITE.NOUN,,Pollucite,铯榴石
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.",铯榴石为含铯矿物，目前危险性太高，无法生产。尤其现在疯狂的矮人铁匠在尝试寻找可靠的生产途径。
ORE.PYRITE.ADJECTIVE,,Fool's gold,愚人金
ORE.PYRITE.NOUN,,Fool's gold,愚人金
