KEY,NOTES,ENGLISH,RUSSIAN
NOTIFICATION.FISH_EXHAUSTED.TITLE,,Fish depopulated,Рыба закончилась
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Все должно закончиться. Ваше поселение заброшено.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Игра окончена
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,"Процветание вашего поселения привлекло ряд новых жителей, чтобы увеличить ваше население."
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Жители
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Область провалилась из-за отсутствия столбов и опор.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Шахта обрушилась
NOTIFICATION.OXIDISATION_DESTRUCTION.DESCRIPTION,,An item or piece of furniture has been destroyed due to prolonged exposure to rain.\nSome materials such as iron and steel should not be left outside for a long period.,"Предмет или мебель были разрушены из-за длительного пребывания под дождем. Некоторые материалы, такие как железо и сталь, не следует оставлять на улице в течение длительного времени."
NOTIFICATION.OXIDISATION_DESTRUCTION.TITLE,,Rusted away,Заржавело
NOTIFICATION.ROOFING_COLLAPSE.DESCRIPTION,,A roof has collapsed due to a lack of pillars and supports.,Обрушилась крыша из-за отсутствия столбов и опор
NOTIFICATION.ROOFING_COLLAPSE.TITLE,,Roof collapsed,Крыша обрушилась
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,Ужасающие трудности оказались слишком сложными для {{character}}.
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Нервный срыв
NOTIFICATION.SETTLER_TANTRUM.DESCRIPTION,,{{character}} has become so unhappy that they are throwing a tantrum!,"{{character}} стал так недоволен, что впал в ярость!"
NOTIFICATION.SETTLER_TANTRUM.TITLE,,Tantrum!,Ярость!

ORE.BAUXITE.ADJECTIVE,,Bauxite,Бокситовый
ORE.BAUXITE.NOUN,,Bauxite,Боксит
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","Боксит является основной рудой алюминия. К сожалению, способ производства алюминия пока не найден."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Каменно угольный
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Каменный уголь
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Он может быть преобразован в {{ORE.COKE.NOUN}} с помощью {{FURNITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Касситеритовый
ORE.CASSITERITE.NOUN,,Cassiterite,Касситерит
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,"Руда, которая может быть переплавлена для получения {{METAL.TIN.NOUN}}."
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Древесно угольный
ORE.CHARCOAL.NOUN,,Charcoal,Древесный уголь
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} производится из дерева {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Хрисолловый
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Хрисолла
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Часто путают с бирюзой, но на самом деле руда {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,Коксовый
ORE.COKE.NOUN,,Coke,Кокс
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,"Уточненная форма {{ORE.BITUMINOUS_COAL}}, которую можно использовать как {{FUEL.SACK}}."
ORE.GALENA.ADJECTIVE,,Galena,Галеновый
ORE.GALENA.NOUN,,Galena,Галенит
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,"Руда, которая может быть переплавлена для получения{{METAL.SILVER}}."
ORE.HEMATITE.ADJECTIVE,,Hematite,Гематитовый
ORE.HEMATITE.NOUN,,Hematite,Гематит
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,"Руда, которая может быть переплавлена для получения {{METAL.IRON}}."
ORE.ILMENITE.ADJECTIVE,,Ilmenite,Илменитовый
ORE.ILMENITE.NOUN,,Ilmenite,Илменит
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","Ильменит является основной рудой титана. К сожалению, способ производства титана пока не найден."
ORE.MALACHITE.ADJECTIVE,,Malachite,Малахитовый
ORE.MALACHITE.NOUN,,Malachite,Малахит
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,"Руда, которая может быть переплавлена для получения {{METAL.COPPER}}."
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Самородная медь
ORE.NATIVE_COPPER.NOUN,,Native copper,Самородная медь
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,"Встречается в естественном виде {{METAL.COPPER}}, должно быть переплавлено перед использование."
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Самородное золото
ORE.NATIVE_GOLD.NOUN,,Native gold,Самородное золото
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,"Встречается в естественном виде {{METAL.GOLD}}, должно быть переплавлено перед использование."
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Самородная платина
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Самородная платина
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,"Встречается в естественном виде {{METAL.PLATINUM}}, должно быть переплавлено перед использование."
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Самородное серебро
ORE.NATIVE_SILVER.NOUN,,Native silver,Самородное серебро
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,"Встречается в естественном виде {{METAL.SILVER}}, должно быть переплавлено перед использованием."
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Поллюцитовый
ORE.POLLUCITE.NOUN,,Pollucite,Поллюцит
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Поллюцит является рудой цезия, которая в настоящее время слишком опасна для производства. Особенно отчаянные кузнецы гномы в настоящее время пытаются найти надежный способ его производства."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Пиритовый
ORE.PYRITE.NOUN,,Fool's gold,Пирит
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Также известен как Золото дураков, его бледно-желтый внешний вид заставляет некоторых принять его за золото. Он имеет несколько применений при дроблении, но необходимо проявлять осторожность, поскольку он крошится при ударе."
ORE.THORIUM.ADJECTIVE,,Thorium,Ториевый
ORE.THORIUM.NOUN,,Thorium,Торий
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,"Серебристая металлическая руда, которая становится черной при воздействии воздуха. Странная и теплая на ощупь."
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Вольфрамовый
ORE.WOLFRAMITE.NOUN,,Wolframite,Вольфрам
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,"Металлическая руда, которая усложняет плавку олова. Она имеет слишком высокую температуру плавления, чтобы быть выплавленной обычным способом."

OTHER.ASH,,Charred,Обгоревший
OTHER.BRICK.NOUN,,Brick,Кирпич
OTHER.CLAY_SOIL.NOUN,,Clay soil,Глинозем
OTHER.GRASS.NOUN,,,Трава

PRIORITY.DISABLED,,Disabled,
PRIORITY.HIGHER,,Higher,Высокий
PRIORITY.HIGHEST,,Highest,Наивысший
PRIORITY.LOWER,,Lower,Низкий
PRIORITY.LOWEST,,Lowest,Очень низкий
PRIORITY.NORMAL,,Normal,Нормальный

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,Я принимаю
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Отключить отчеты
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,King under the Mountain находится в раннем доступе. Помочь
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,"- Трассировка стека исключения, это вызвало сбой"
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","Диагностировать и исправлять ошибки, нажмите кнопку «Я принимаю» ниже, чтобы"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,автоматически отправлять анонимные отчеты о сбоях.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,Это состоит только из следующих данных:
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,- Версия игрового клиента
PRIVACY.OPT_IN.LINE_7,,- Your operating system,- Ваша операционная система
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,- Ваша видеокарта и настройки дисплея
PRIVACY.OPT_IN.LINE_9,,- Your options settings,- Настройки параметров

PRODUCT.ANVIL,,Anvil,Наковальня
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,"Большой блок металла, используемый для придания формы нагретому металлу. Требуется для создания {{FURNITURE.FORGE}."
PRODUCT.BARREL.HOOPS,,Barrel hoops,Обручи для бочек
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,"Металлические обручи, используемые для построения {{PRODUCT.BARREL.NOUN}}. Также используется в некоторых машинах."
PRODUCT.BARREL.NOUN,,Barrel,Бочка
PRODUCT.BARREL.PLURAL,,Barrels,Бочки
PRODUCT.BARREL.STAVES,,Barrel staves,Бочарные клепки
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,"Изогнутые деревянные доски, используемые для построения {{PRODUCT.BARREL.NOUN}}."
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Цилиндрический контейнер для жидкостей. Изогнутая форма облегчает транспортировку.
PRODUCT.BOWL,A bowl for eating from,Bowl,Миска
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Миска с супом ({{cooking.soup.description}})
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Тесто
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Тесто
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,"Смесь ингредиентов, которые могут быть запечены в {{PRODUCT.BREAD.LOAF.PLURAL}}, используя {{FURNITURE.BAKING_OVEN}}."
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Хлеб
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Хлеб
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Готовый хлеб, готовый к употреблению!"
PRODUCT.BUCKET.NOUN,,Bucket,Ведро
PRODUCT.BUCKET.PLURAL,,Buckets,Ведра
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,"Небольшой контейнер, используемый для перемещения жидкостей вручную."
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Котел
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Используется {{PROFESSION.CHEF}} для приготовления супа в {{ROOMS.KITCHEN}}, где он затем перемещается в {{ROOMS.FEASTING_HALL}}."
PRODUCT.LINEN.NOUN,,Linen,Лен
PRODUCT.LINEN.PLURAL,,Linen,Льна
PRODUCT.LIQUID.TANK,,Tank,Бак
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.","Это металлический контейнер, используемый для хранения жидкостей, который должен быть изготовлен на {{FURNITURE.FORGE}}." 
PRODUCT.MILLSTONE,,Millstone,Жернов
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,"Два больших каменных диска, которые измельчают зерно. Используется для построения {{FURNITURE.FLOUR_MILL}}."
PRODUCT.RATION.NOUN,,Ration,Паек
PRODUCT.RATION.PLURAL,,Rations,Пайки
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Их ватит на долгое время чтобы накормить ваших поселенцев, но в первую очередь вам понадобятся другие источники пищи."
PRODUCT.ROPE.NOUN,,Rope,Веревка
PRODUCT.ROPE.PLURAL,,Ropes,Веревки
PRODUCT.STONE.GEAR.NOUN,,Gear,Шестерня
PRODUCT.STONE.GEAR.PLURAL,,Gears,Шестерни
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.,Используется при строительстве механизмов 
PRODUCT.STONE.PIPE.NOUN,,Pipe,Труба
PRODUCT.STONE.PIPE.PLURAL,,Pipes,Трубы
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.,Используется для перемещения жидкостей под землей
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,Горизонтальный вал 
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,Горизонтальные валы 
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,"Используется для соединения механизмов, которые производят и требуют энергии"
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,Вертикальный вал
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,Вертикальные валы
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,"Используется для соединения механизмов, которые производят и требуют энергии"

PROFESSION.BAKER.VERB,,Baking,Выпекание
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Кузнец
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Кузнец
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,"Изготавливает предметы из металла, а также производит металл из руды."
PROFESSION.BLACKSMITH.VERB,,Forging,Ковка
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,Пивовар
PROFESSION.BREWER.MALE_NOUN,,Brewer,Пивовар
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,Производит пиво в {{ROOMS.BREWERY}} 
PROFESSION.BREWER.VERB,,Brewing,Пивоварение
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Плотник
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Плотник
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Создает мебель и предметы из дерева.
PROFESSION.CARPENTER.VERB,,Crafting,Изготовление
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Повар
PROFESSION.CHEF.MALE_NOUN,,Chef,Повар
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,"Готовит все продукты питания, которые будут потребляться вашими поселенцами."
PROFESSION.CHEF.VERB,,Cooking,Приготовление еды
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Фермер
PROFESSION.FARMER.MALE_NOUN,,Farmer,Фермер
PROFESSION.FARMER.PLURAL,,Farmers,Фермеры
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Сажает, ухаживает и собирает урожай."
PROFESSION.FARMER.VERB,,Farming,Выращивание
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Рыболов
PROFESSION.FISHER.MALE_NOUN,,Fisher,Рыболов
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Ловит рыбу из водоемов для использования в качестве пищи и ресурсов.
PROFESSION.FISHER.VERB,,Fishing,Рыбалка
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Охотница
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Охотник
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Выслеживает и убивает диких животных ради их мяса и шкур.
PROFESSION.HUNTER.VERB,,Hunting,Охота
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Мэр
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Мэр
PROFESSION.MAYOR.VERB,,Governing,Управляющий
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Торговец
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Торговец
PROFESSION.MERCHANT.VERB,,Trading,Торговля
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Измельчение
PROFESSION.MINER.FEMALE_NOUN,,Miner,Шахтер
PROFESSION.MINER.MALE_NOUN,,Miner,Шахтер
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Выкапывает новые участки с помощью {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Копание
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Аристократка
PROFESSION.NOBLE.MALE_NOUN,,Noble,Аристократ
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","Дворяне выполняют работу так же, как обычные поселенцы, но приносят славу и престиж вашему поселению."
PROFESSION.NOBLE.VERB,,Reigning,Царствование
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Мастер рун
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Мастер рун
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Зачаровывает оружие, доспехи и предметы магическими рунами, чтобы повысить их характеристики."
PROFESSION.RUNESMITH.VERB,,Enchanting,Зачарование
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Каменщица
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Каменщик
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Создает мебель и предметы из камня.
PROFESSION.STONEMASON.VERB,,Sculpting,Высекание
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Механик
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Механик
PROFESSION.TINKERER.VERB,,Tinkering,Починка
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Крестьянка
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Крестьянин
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,"Этот поселенец не имеет какой-либо конкретной профессии и будет выполнять любые повседневные задачи, такие как транспортировка предметов."
PROFESSION.VILLAGER.VERB,,Working,Рабочий
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Резчица по дереву
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Резчик по дереву
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,"Рубит деревья на пиломатериалы, которые могут быть использованы в {{ROOMS.SAWMILL}}."
PROFESSION.WOODCUTTER.VERB,,Chopping,Рубка

QUOTA.FIXED_AMOUNT,,in total,Всего
QUOTA.PER_SETTLER,,per settler,На поселенца

RACE.BOAR.NOUN,,Wild boar,Кабан
RACE.CARP.NOUN,,Carp,Карп
RACE.DEER.FEMALE_NOUN,,Doe,Лань
RACE.DEER.MALE_NOUN,,Stag,Олень
RACE.DEER.TOOLTIP,,A deer is a non-threatening herbivore which will flee at any sign of danger,"Олень - неопасное травоядное животное, которое убегает при любом признаке опасности"
RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Гномий
RACE.DWARF.FEMALE_NOUN,,Dwarf,Гномиха
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Гномы
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Гномий
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Гном
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Гномы
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,Гномы низкие и похожи на людей. Они мастера работы с камнем и металлом. Большинство гномов любят жить под открытым небом и предпочитают оставаться под землей.
RACE.ELEPHANT.NOUN,,Elephant,Слон
RACE.FOX.FEMALE_NOUN,,Vixen,Лисица
RACE.FOX.MALE_NOUN,,Fox,Лис
RACE.PERCH.NOUN,,Perch,Окунь
RACE.PIKE.NOUN,,Pike,Щука

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Медный купорос
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Медный купорос
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Соль серной кислоты с многочисленными применениями в промышленности. (Использование медного купороса еще не реализовано в King under the Mountain)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Мука
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Мука
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,"Зерно, которое было измельчено в мелкий порошок, готовый к использованию в качестве ингредиента в производстве продуктов питания."
RESOURCE.GEM.NOUN,,Gem,Самоцвет
RESOURCE.GEM.PLURAL,,Gems,Самоцветы
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,"Драгоценные камни, которые были вырезаны и отполированы, чтобы подчеркнуть свою красоту. Чаще всего используется в качестве украшения."
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Необработанный самоцвет
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Необработанные самоцветы
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,"Кусок породы, содержащий драгоценные камни, готовые к разрезанию и полировке."
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),Зерно (мешок)
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),Зерно (мешок)
RESOURCE.HEMP.BUNDLE.NOUN,,Hemp bundle,Пучок пеньки
RESOURCE.HEMP.BUNDLE.PLURAL,,Hemp bundles,Пучок пеньки
RESOURCE.HEMP.FIBRE.BUNDLE.NOUN,,Hemp fibre bundle,Пучок волокон пеньки
RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL,,Hemp fibre bundles,Пучок волокон пеньки
RESOURCE.LOGS.NOUN,,Log,Бревно
RESOURCE.LOGS.PLURAL,,Logs,Бревна
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Отрезки дерева, которые чаще всего подготавливаются в {{RESOURCE.PLANKS.PLURAL}}, но имеют и другие виды применения."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Цветение
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Цветет
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,"Кусок металла, смешанного со шлаком, который необходимо перековать в пригодную для использования форму."
RESOURCE.METAL.INGOT.NOUN,,Ingot,Слиток
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Слитки
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Обработанные металлические блоки, готовые к использованию в производстве и строительстве."
RESOURCE.METAL.PLATE.NOUN,,Plate,Пластина
RESOURCE.METAL.PLATE.PLURAL,,Plates,Пластины
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.","Большие плоские пластины, которые используются в некоторых крупных машинах."
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Грибное бревно
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Грибные бревна
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,"Бревно, которое было использовано с {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. Тело самого бревна — это место, откуда грибы черпают питательные вещества. Оно требует обливания в {{FURNITURE.MUSHROOM_SHOCK_TANK}} после того, как он станет полностью покрытым спорами."
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,Грибное бревно
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,Грибные бревна
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,"Куски гигантского гриба, которые можно использовать так же, как дерево {{RESOURCE.LOGS.PLURAL}}."
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Дробленая руда
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Дробленые руды
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","Металлический песок, созданный путем разрушения необработанной металлической руды, готовый к использованию в {{FURNITURE.BLOOMERY_FURNACE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Руда
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Руды
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,"Камень, содержащий металлические руды, которые могут быть переработаны в пригодный для использования металл."
RESOURCE.PLANKS.NOUN,,Plank,Доска
RESOURCE.PLANKS.PLURAL,,Planks,Доски
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,"Отрезки дерева фиксированного размера, поэтому они могут быть легко использованы в строительстве или производстве."
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Грибное бревно
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Грибные бревна
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,"Это пропитанное грибами бревно было “шокировано” водой, чтобы стимулировать развитие грибов, и вскоре должно дать урожай."
RESOURCE.STONE.BLOCK.NOUN,,Block,Блок
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Блоки
