KEY,NOTES,ENGLISH,POLISH
MODS.COMPATIBILITY.UNKNOWN,,Unknown,Nieznany
MODS.MISSING_MODS_DIALOG_TEXT,,This save file was last used while the following mods were active. These mods are now missing or disabled so the save may not load correctly.,"Ten plik zapisu był ostatnio używany, gdy następujące mody były aktywne. Te mody są teraz brakujące lub wyłączone, więc zapisz może nie ładować się poprawnie."
MODS.MISSING_MODS_SAVE_EXCEPTION_DIALOG_TEXT,,"The save file could not be loaded because either it is incompatible with this version of the game, or because some mods have been disabled or removed since this save was last loaded. The following mods were expected but are no longer active:","Plik zapisu nie mógł zostać załadowany, ponieważ jest niezgodny z tą wersją gry lub dlatego, że niektóre mody zostały wyłączone lub usunięte od ostatniego załadowania tego zapisu. Oczekiwano następujące mody, ale nie są już aktywne:"
MODS.TABLE.COMPATIBILITY,,Compatible?,Kompatybilny?
MODS.TABLE.ENABLED,,Enabled?,Włączone?
MODS.TABLE.NAME,,Mod Name,Nazwa modu
MODS.TABLE.ORDERING,,Re-order,Ponowne zamówienie
MODS.TABLE.VERSION,,Mod Version,Wersja modów

MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},{{materialType.noun}}

NEEDS.DRINK,,Drink,Pij
NEEDS.FOOD,,Food,Jedzenie
NEEDS.SLEEP,,Sleep,Sen

NOTIFICATION.AREA_REVEALED.DESCRIPTION,,Your miners have discovered a new area!,Twoi górnicy odkryli nowy obszar!
NOTIFICATION.AREA_REVEALED.TITLE,,Exploration,Eksploracja
NOTIFICATION.DEATH.DESCRIPTION,,"{{character}}, has died due to {{reason}}.","{{character}}, zmarł z powodu {{reason}}."
NOTIFICATION.DEATH.SHORT_DESCRIPTION,,Died due to {{reason}},Zmarł z powodu {{reason}}
NOTIFICATION.DEATH.TITLE,,Settler death,Śmierć osadnika
NOTIFICATION.GAME_OVER.DESCRIPTION,,All things must come to an end. Your settlement lies abandoned.,Wszystko musi się skończyć. Twoja osada leży porzucona.
NOTIFICATION.GAME_OVER.TITLE,,Game Over,Koniec gry
NOTIFICATION.IMMIGRANTS_ARRIVED.DESCRIPTION,,The prosperity of your settlement has attracted a number of new immigrants to boost your population.,Dobrobyt waszej osady przyciągnął wielu nowych imigrantów do zwiększenia populacji.
NOTIFICATION.IMMIGRANTS_ARRIVED.TITLE,,Immigration,Imigracja
NOTIFICATION.MINING_COLLAPSE.DESCRIPTION,,An area has caved in due to a lack of pillars and supports.,Obszar zawalił się z powodu braku filarów i podpór.
NOTIFICATION.MINING_COLLAPSE.TITLE,,Mining collapse,Upadek górnictwa
NOTIFICATION.SETTLER_MENTAL_BREAK.DESCRIPTION,,The gruelling hardship has proven to be too much to handle for {{character}}.,"Trudność okazała się zbyt duża, aby poradzić sobie z {{character}}."
NOTIFICATION.SETTLER_MENTAL_BREAK.TITLE,,Mental break,Przerwa psychiczna

ORE.BAUXITE.ADJECTIVE,,Bauxite,- Boksyt
ORE.BAUXITE.NOUN,,Bauxite,- Boksyt
ORE.BAUXITE.TOOLTIP,,"Bauxite is the primary ore of aluminium. Unfortunately, a means of aluminium production is yet to be discovered.","Boksyt jest pierwotną rudą aluminium. Niestety, jeszcze nie odkryto sposobu produkcji aluminium."
ORE.BITUMINOUS_COAL.ADJECTIVE,,Bituminous coal,Węgiel bitumiczny
ORE.BITUMINOUS_COAL.NOUN,,Bituminous coal,Węgiel bitumiczny
ORE.BITUMINOUS_COAL.TOOLTIP,,This can be converted into {{ORE.COKE.NOUN}} using a {{FURNITURE.COKE_OVEN}}.,Można to zamienić na {{ORE.COKE.NOUN}} przy użyciu {{FURNITURE.COKE_OVEN}}.
ORE.CASSITERITE.ADJECTIVE,,Cassiterite,Kasytryt
ORE.CASSITERITE.NOUN,,Cassiterite,Kasyteryt
ORE.CASSITERITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.TIN.NOUN}}.,"Ruda, którą można wytapiać w celu wyprodukowania {{METAL.TIN.NOUN}}."
ORE.CHARCOAL.ADJECTIVE,,Charcoal,Węgiel drzewny
ORE.CHARCOAL.NOUN,,Charcoal,Węgiel drzewny
ORE.CHARCOAL.TOOLTIP,,{{FUEL.SACK}} produced from wooden {{RESOURCE.LOGS.PLURAL}}.,{{FUEL.SACK}} wyprodukowane z drewna {{RESOURCE.LOGS.PLURAL}}.
ORE.CHRYSOCOLLA.ADJECTIVE,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.NOUN,,Chrysocolla,Chrysocolla
ORE.CHRYSOCOLLA.TOOLTIP,,"Often confused with turquoise, it is actually an ore of {{METAL.COPPER}}.","Często mylone z turkusem, to rzeczywiście ruda {{METAL.COPPER}}."
ORE.COKE.ADJECTIVE,,Coke,Koks
ORE.COKE.NOUN,,Coke,Koks
ORE.COKE.TOOLTIP,,A refined form of {{ORE.BITUMINOUS_COAL}} which can be used as {{FUEL.SACK}}.,"Udoskonalona forma {{ORE.BITUMINOUS_COAL}}, która może być używana jako {{FUEL.SACK}}."
ORE.GALENA.ADJECTIVE,,Galena,Galena
ORE.GALENA.NOUN,,Galena,Galena
ORE.GALENA.TOOLTIP,,An ore that can be smelted to produce {{METAL.SILVER}}.,"Ruda, którą można wytapiać do produkcji {{METAL.SILVER}}."
ORE.HEMATITE.ADJECTIVE,,Hematite,Hematyt
ORE.HEMATITE.NOUN,,Hematite,Hematyt
ORE.HEMATITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.IRON}}.,"Ruda, którą można wytapiać w celu wyprodukowania {{METAL.IRON}}."
ORE.ILMENITE.ADJECTIVE,,Ilmenite,- Ilmenit
ORE.ILMENITE.NOUN,,Ilmenite,- Ilmenit
ORE.ILMENITE.TOOLTIP,,"Ilmenite is the primary ore of titanium. Unfortunately, a means of titanium production is yet to be discovered.","Ilmenit jest pierwotną rudą tytanu. Niestety, środki produkcji tytanu nie zostały jeszcze odkryte."
ORE.MALACHITE.ADJECTIVE,,Malachite,Malachit
ORE.MALACHITE.NOUN,,Malachite,Malachit
ORE.MALACHITE.TOOLTIP,,An ore that can be smelted to produce {{METAL.COPPER}}.,"Ruda, która może być wytapiana do produkcji {{METAL.COPPER}}."
ORE.NATIVE_COPPER.ADJECTIVE,,Native copper,Miedź natywna
ORE.NATIVE_COPPER.NOUN,,Native copper,Miedź rodzima
ORE.NATIVE_COPPER.TOOLTIP,,Naturally-occuring {{METAL.COPPER}} which must be smelted before use.,"Naturalnie występujące {{METAL.COPPER}}, które przed użyciem należy wytapiać."
ORE.NATIVE_GOLD.ADJECTIVE,,Native gold,Rdzenne złoto
ORE.NATIVE_GOLD.NOUN,,Native gold,Złoto rodzime
ORE.NATIVE_GOLD.TOOLTIP,,Naturally-occuring {{METAL.GOLD}} which must be smelted before use.,"Naturalnie występujące {{METAL.GOLD}}, które przed użyciem należy wytapiać."
ORE.NATIVE_PLATINUM.ADJECTIVE,,Native platinum,Native platyna
ORE.NATIVE_PLATINUM.NOUN,,Native platinum,Native platyna
ORE.NATIVE_PLATINUM.TOOLTIP,,Naturally-occuring {{METAL.PLATINUM}} which must be smelted before use.,"Naturalnie występujące {{METAL.PLATINUM}}, które przed użyciem należy wytapiać."
ORE.NATIVE_SILVER.ADJECTIVE,,Native silver,Native srebro
ORE.NATIVE_SILVER.NOUN,,Native silver,Srebro rodzime
ORE.NATIVE_SILVER.TOOLTIP,,Naturally-occuring {{METAL.SILVER}} which must be smelted before use.,"Naturalnie występujące {{METAL.SILVER}}, które przed użyciem należy wytapiać."
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Zanieczyszczenie
ORE.POLLUCITE.NOUN,,Pollucite,Zanieczyszczenie
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Zanieczyca jest rudą cezu, która jest obecnie zbyt niebezpieczna do produkcji. Szczególnie szaleni krasnoludzcy metalowcy próbują obecnie znaleźć niezawodną metodę produkcji."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Złoto głupca
ORE.PYRITE.NOUN,,Fool's gold,Złoto głupca
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Znany również jako Piryt, jego blado-żółty wygląd powoduje, że niektórzy pomylili go ze złotem. Ma kilka zastosowań po zmiażdżeniu, ale należy zachować ostrożność, ponieważ iskra po uderzeniu."
ORE.THORIUM.ADJECTIVE,,Thorium,Tor
ORE.THORIUM.NOUN,,Thorium,Tor
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,"Srebrzysta metaliczna ruda, która staje się czarna po wystawieniu na działanie powietrza. Jest dziwnie ciepły w dotyku."
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframite
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframite
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,"Metaliczna ruda, która komplikuje wytapianie cyny. Ma zbyt wysoką temperaturę topnienia, aby można było wytapiać w normalnych procesach."

OTHER.BRICK.NOUN,,Brick,Cegła
OTHER.CLAY_SOIL.NOUN,,Clay soil,Glina
OTHER.GRASS.NOUN,,,Trawa

PRIORITY.DISABLED,,Disabled,
PRIORITY.HIGHER,,Higher,
PRIORITY.HIGHEST,,Highest,
PRIORITY.LOWER,,Lower,
PRIORITY.LOWEST,,Lowest,
PRIORITY.NORMAL,,Normal,

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,Akceptuję
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Wyłącz raportowanie
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,Król pod Górą jest w aktywnym rozwoju. Aby pomóc
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,"- Ślad stosu wyjątku, który spowodował awarię"
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","diagnozowania i naprawiania błędów, proszę kliknąć „Akceptuję” poniżej, aby"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically.,automatyczne wysyłanie anonimowych raportów o awariach.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,Skład ten składa się tylko z następujących danych:
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,- Wersja klienta gry
PRIVACY.OPT_IN.LINE_7,,- Your operating system,- Twój system operacyjny
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,- Ustawienia karty graficznej i wyświetlania
PRIVACY.OPT_IN.LINE_9,,- Your options settings,- Ustawienia opcji

PRODUCT.ANVIL,,Anvil,Kowadło
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,Duży blok metalu używany do młotkowania podgrzewanego metalu w kształt. Wymagane do skonstruowania {{FURITURE.FORGE}}.
PRODUCT.BARREL.HOOPS,,Barrel hoops,Obręcze beczek
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,Metalowe obręcze używane do budowy {{PRODUCT.BARREL.NOUN}}. Stosowany również w niektórych maszynach.
PRODUCT.BARREL.NOUN,,Barrel,Beczka
PRODUCT.BARREL.PLURAL,,Barrels,Beczki
PRODUCT.BARREL.STAVES,,Barrel staves,Deszczułki beczek
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Zakrzywione drewniane deski używane do budowy {{PRODUCT.BARREL.NOUN}}.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Cylindryczny pojemnik na ciecze. Zakrzywiony kształt ułatwia toczyć się wokół.
PRODUCT.BOWL,A bowl for eating from,Bowl,Miska
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Miska {{cooking.soup.description}}
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Ciasto
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Ciasto
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,"Mieszanka składników, które można wypiekać do {{PRODUCT.BREAD.LOAF.PLURAL}} przy użyciu {{FURNITURE.BAKING_OVEN}}."
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Chleb
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Chleb
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Przygotowany chleb, gotowy do jedzenia!"
PRODUCT.BUCKET.NOUN,,Bucket,Wiadro
PRODUCT.BUCKET.PLURAL,,Buckets,Wiadra
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,Mały pojemnik używany do ręcznego przemieszczania płynów.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kocioł
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Używany przez {{PROFESSION.CHEF}} do przygotowania zupy w {{ROOMS.KITCHEN}}, gdzie zostaje ona przeniesiona do {{ROOMS.FEASTING_HALL}}."
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,Millstone
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,"Dwie duże kamienne krążki, które są mielone razem do młyna zebranych plonach. Służy do skonstruowania {{FURNITURE.FLOUR_MILL}}."
PRODUCT.RATION.NOUN,,Ration,Racja
PRODUCT.RATION.PLURAL,,Rations,Racje
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Będą one trwać długo, aby nakarmić swoich osadników, ale będziesz potrzebował innych źródeł żywności jako priorytetu."

PROFESSION.BAKER.VERB,,Baking,Piec
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Kowalka
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Kowal
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,"Rzemiosło przedmioty za pomocą metalu, a także produkuje metal z rudy."
PROFESSION.BLACKSMITH.VERB,,Forging,Wykuwać
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Stolarka
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Stolarz
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Tworzy drewniane meble i przedmioty.
PROFESSION.CARPENTER.VERB,,Crafting,Tworzyć
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Kucharz
PROFESSION.CHEF.MALE_NOUN,,Chef,Kucharz
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,Przygotowuje wszystkie jedzenie do spożycia przez osadników.
PROFESSION.CHEF.VERB,,Cooking,Gotować
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Farmerka
PROFESSION.FARMER.MALE_NOUN,,Farmer,Farmer
PROFESSION.FARMER.PLURAL,,Farmers,Rolnicy
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Rośliny, tendencje i zbiera plony."
PROFESSION.FARMER.VERB,,Farming,Uprawiać
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Rybaczka
PROFESSION.FISHER.MALE_NOUN,,Fisher,Rybak
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Łowiska ryby z wód w celu wykorzystania jako żywność i zasoby.
PROFESSION.FISHER.VERB,,Fishing,Łowić
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Myśliwa
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Myśliwy
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Śledzi i zabija dzikie zwierzęta dla ich mięsa i skóry.
PROFESSION.HUNTER.VERB,,Hunting,Polować
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Burmistrzyni
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Burmistrz
PROFESSION.MAYOR.VERB,,Governing,Rządzić
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Handlarka
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Handlarz
PROFESSION.MERCHANT.VERB,,Trading,Handlować
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Frezowanie
PROFESSION.MINER.FEMALE_NOUN,,Miner,Górniczka
PROFESSION.MINER.MALE_NOUN,,Miner,Górnik
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Wykopuje nowe obszary przy użyciu {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Wydobywać
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Szlachcianka
PROFESSION.NOBLE.MALE_NOUN,,Noble,Szlachcic
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","Szlachta nie wypełnia miejsc pracy w taki sam sposób jak zwykli osadnicy, ale przynoszą sławę i prestiż do waszej osady."
PROFESSION.NOBLE.VERB,,Reigning,Panować
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Runarka
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Runarz
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Urzeka broń, pancerz i przedmioty magicznymi runami, aby zwiększyć ich umiejętności."
PROFESSION.RUNESMITH.VERB,,Enchanting,Zaklinać
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Kamieniarka
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Kamieniarz
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Rzemiosło meble i przedmioty z kamienia.
PROFESSION.STONEMASON.VERB,,Sculpting,Rzeźbić
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Majsterka
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Majster
PROFESSION.TINKERER.VERB,,Tinkering,Majstrować
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Wieśniaczka
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Wieśniak
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,"Ten osadnik nie posiada żadnych konkretnych zawodów i będzie wykonywać wszelkie przyziemne zadania, takie jak transport przedmiotów."
PROFESSION.VILLAGER.VERB,,Working,Pracować
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Drwalka
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Drwal
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,"Wycina drzewa jako tarcicę, która może być używana w {{ROOMS.SAWMILL}}."
PROFESSION.WOODCUTTER.VERB,,Chopping,Ścinać

QUOTA.FIXED_AMOUNT,,in total,
QUOTA.PER_SETTLER,,per settler,

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Krasnoludzka
RACE.DWARF.FEMALE_NOUN,,Dwarf,Krasnoludka
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Krasnoludki
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Krasnoludzki
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Krasnolud
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Krasnoludy
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,Krasnoludy są krótkimi i krępymi humanoidami. Są mistrzami pracy z kamieniem i metalem. Większość krasnoludów nie ufają niebu i woli pozostać pod ziemią.

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Sól kwasu siarkowego o wielu zastosowaniach w przemyśle. (Użytek witriolu nie zostały jeszcze wdrożone w Królu pod Górą)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Mąka
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Mąka
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,"Ziarno, które zostało zmielone na drobny proszek gotowy do użycia jako składnik do produkcji żywności."
RESOURCE.GEM.NOUN,,Gem,Klejnot
RESOURCE.GEM.PLURAL,,Gems,Klejnoty
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,"Klejnoty, które zostały wycięte i polerowane, aby poprawić ich piękno. Najczęściej używany jako ozdoby."
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Nieoszlifowany klejnot
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Nieoszlifowane klejnoty
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,Skała zawierająca klejnoty gotowe do cięcia i polerowania.
RESOURCE.LOGS.NOUN,,Log,Pień
RESOURCE.LOGS.PLURAL,,Logs,Pnie
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Sekcje drzewa, które są najczęściej przygotowywane do {{RESOURCE.PLANKS.PLURAL}}, ale mają też inne zastosowania."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Bloom
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Kwitnie
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,"Kawałek metalu zmieszany z żużlem, który musi być wbity do użytecznej formy."
RESOURCE.METAL.INGOT.NOUN,,Ingot,Sztabka
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Sztabki
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Wyrafinowane metalowe bloki, gotowe do użycia jako składnik rzemieślniczy."
RESOURCE.METAL.PLATE.NOUN,,Plate,Płytka
RESOURCE.METAL.PLATE.PLURAL,,Plates,Talerze
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.","Duże, płaskie płyty, które są używane w niektórych większych maszynach."
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Dziennik grzybowy
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Kłody grzybowe
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,"Dziennik, który został podany z {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. Ciało samego dziennika jest miejscem, z którego grzyby pobierają składniki odżywcze. Wymaga to oblewania w {{FURNITURE.MUSHROOM_SHOCK_TANK}} po tym, jak został całkowicie niewinny."
RESOURCE.MUSHROOM.LUMBER.NOUN,,Log,Pień
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Logs,Pnie
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,"Sekcje gigantycznego grzyba, które mogą być używane w taki sam sposób jak drewniane {{RESOURCE.LOGS.PLURAL}}."
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Zgniatana ruda
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Zgniatana ruda
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","Piasek metaliczny powstały w wyniku rozbicia rudy metali surowych, gotowy do użycia w {{FURNITURE.BLOOMERY_FURNACE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Ruda
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Rudy
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,"Kamień zawierający rudy metaliczne, które mogą być przetwarzane na metal użyteczny."
RESOURCE.PLANKS.NOUN,,Plank,Deska
RESOURCE.PLANKS.PLURAL,,Planks,Deski
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,"Sekcje drewna o stałym rozmiarze, dzięki czemu można je łatwo stosować w konstrukcjach i rzemieślnictwie."
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Dziennik grzybowy
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Kłody grzybowe
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,"Ten pieczarkowy dziennik został „zszokowany” w wodzie, aby zachęcić grzyby do rozwoju i powinien wkrótce przynieść zbiory."
RESOURCE.STONE.BLOCK.NOUN,,Block,Blok
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Bloki
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,"Kamień, który został ukształtowany w kostkę, dzięki czemu można go łatwo wykorzystać w budownictwie lub rzemieślnictwie."
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Nieociosany głaz
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Nieociosane głazy
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,"Ogromny kawałek kamienia, który musi zostać wyrzeźbiony w bardziej użyteczny kształt przez {{PROFESSION.STONEMASON}}."

ROOMS.BEDROOM,,Bedroom,Sypialnia
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.","Miejsce dla osadników do spania. Wolą mieć pojedyncze sypialnie, które mają co najmniej 9 płytek, a najlepiej co najmniej 13 płytek."
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,Most
